Bus Number,Bus Name,Sub Name,Nom kV,Area Name,Latitude,Longitude
41452,OSTKNI12,Knight,500,NORTHWEST,46.1,-120.86
41451,OSTKNI11,Knight,500,NORTHWEST,46.1,-120.86
41450,KNIGHT,Knight,500,NORTHWEST,46.1,-120.86
40700,GRIMAL21,Grizzly Power,500,NORTHWEST,44.48,-121.02
40708,GRIMAL25,Grizzly Power,500,NORTHWEST,44.48,-121.02
40591,GRIJOH12,Grizzly Power,500,NORTHWEST,44.48,-121.02
40710,GRIMAL26,Grizzly Power,500,NORTHWEST,44.48,-121.02
40488,GRIZZ R3,Grizzly Power,500,NORTHWEST,44.48,-121.02
40702,GRIMAL22,Grizzly Power,500,NORTHWEST,44.48,-121.02
40489,GRIZZLY,Grizzly Power,500,NORTHWEST,44.48,-121.02
40588,GRIJOH11,Grizzly Power,500,NORTHWEST,44.48,-121.02
41046,MALSUM12,Summer Lake,500,NORTHWEST,43.01,-120.96
41043,SUMMER L,Summer Lake,500,NORTHWEST,43.01,-120.96
41054,PONSUM13,Summer Lake,500,NORTHWEST,43.01,-120.96
41052,PONSUM12,Summer Lake,500,NORTHWEST,43.01,-120.96
41044,MALSUM11,Summer Lake,500,NORTHWEST,43.01,-120.96
45040,CAPPON11,Captain Jack,500,NORTHWEST,42.08,-121.39
45041,CAPPON12,Captain Jack,500,NORTHWEST,42.08,-121.39
45042,CAPPON13,Captain Jack,500,NORTHWEST,42.08,-121.39
45043,CAPPON14,Captain Jack,500,NORTHWEST,42.08,-121.39
45044,CAPPON15,Captain Jack,500,NORTHWEST,42.08,-121.39
45046,CAPPON16,Captain Jack,500,NORTHWEST,42.08,-121.39
45035,CAPTJACK,Captain Jack,500,NORTHWEST,42.08,-121.39
41056,PONSUM14,Tacoma,500,NORTHWEST,47.26,-122.37
41058,RAVTAC11,Tacoma,500,NORTHWEST,47.26,-122.37
41051,TACOMA,Tacoma,500,NORTHWEST,47.26,-122.37
42703,S TWHI11,Tacoma,230,NORTHWEST,47.26,-122.37
41049,TACOMA N,Tacoma,230,NORTHWEST,47.26,-122.37
41053,S TACOMA SS,Tacoma,230,NORTHWEST,47.26,-122.37
41055,S TACOMA,Tacoma,230,NORTHWEST,47.26,-122.37
45197,MERIDINP,Meridian,500,NORTHWEST,49.31,-122.81
45199,DIXMER11,Meridian,500,NORTHWEST,49.31,-122.81
45195,MERIDINP,Meridian,230,NORTHWEST,49.31,-122.81
45096,ALVDIX11,Dixonville,500,NORTHWEST,43.21,-123.24
45095,DIXONVLE,Dixonville,500,NORTHWEST,43.21,-123.24
44900,DIXNV230,Dixonville,230,NORTHWEST,43.21,-123.24
45093,DIXONVLE,Dixonville,230,NORTHWEST,43.21,-123.24
45262,KFALLS,COB Energy Facility,500,NORTHWEST,42.2,-121.78
45161,KLAFALLS,COB Energy Facility,230,NORTHWEST,42.2,-121.78
47660,KLAM ADD,COB Energy Facility,13.8,NORTHWEST,42.2,-121.78
41048,PONSUM11,Ponderosa,500,NORTHWEST,44.23,-120.93
40837,PONDROSA,Ponderosa,500,NORTHWEST,44.23,-120.93
40834,PONDROSB,Ponderosa,500,NORTHWEST,44.23,-120.93
40838,PONDROSS,Ponderosa,230,NORTHWEST,44.23,-120.93
40836,PONDROSN,Ponderosa,230,NORTHWEST,44.23,-120.93
41050,TACOMA S,Ponderosa,230,NORTHWEST,44.23,-120.93
40706,GRIMAL24,Malin,500,NORTHWEST,42.01,-121.32
40704,GRIMAL23,Malin,500,NORTHWEST,42.01,-121.32
40688,MALIN R3,Malin,500,NORTHWEST,42.01,-121.32
40684,MALIN R1,Malin,500,NORTHWEST,42.01,-121.32
40687,MALIN,Malin,500,NORTHWEST,42.01,-121.32
45189,MALIN,Malin,230,NORTHWEST,42.01,-121.32
40451,GAR1EAST,Garrison,500,NORTHWEST,46.51,-112.89
40453,GAR2EAST,Garrison,500,NORTHWEST,46.51,-112.89
40459,GARRISON,Garrison,500,NORTHWEST,46.51,-112.89
41070,GARTAF12,Garrison,500,NORTHWEST,46.51,-112.89
41066,DWOTAF12,Garrison,500,NORTHWEST,46.51,-112.89
41072,GARTAF21,Garrison,500,NORTHWEST,46.51,-112.89
40457,GARRISON,Garrison,230,NORTHWEST,46.51,-112.89
40961,COUSCH21,Schultz,500,NORTHWEST,47.12,-120.51
40958,COUSCH11,Schultz,500,NORTHWEST,47.12,-120.51
40957,SCHULTZ,Schultz,500,NORTHWEST,47.12,-120.51
40960,COUSCH12,Schultz,500,NORTHWEST,47.12,-120.51
40962,COUSCH22,Schultz,500,NORTHWEST,47.12,-120.51
40974,RAVSCH12,Schultz,500,NORTHWEST,47.12,-120.51
40970,ECHSCH13,Schultz,500,NORTHWEST,47.12,-120.51
40593,GRIJOH22,Keeler,500,NORTHWEST,45.55,-122.89
40592,GRIJOH21,Keeler,500,NORTHWEST,45.55,-122.89
40601,KEELER,Keeler,500,NORTHWEST,45.55,-122.89
40599,KEELER W,Keeler,230,NORTHWEST,45.55,-122.89
40718,ASHMAR22,Ashe,500,NORTHWEST,46.48,-119.33
40719,ASHMAR23,Ashe,500,NORTHWEST,46.48,-119.33
40716,ASHMAR21,Ashe,500,NORTHWEST,46.48,-119.33
40062,ASHE R1,Ashe,500,NORTHWEST,46.48,-119.33
40061,ASHE,Ashe,500,NORTHWEST,46.48,-119.33
40058,WNP1,Ashe,230,NORTHWEST,46.48,-119.33
40064,TRS,Ashe,230,NORTHWEST,46.48,-119.33
40059,ASHE,Ashe,230,NORTHWEST,46.48,-119.33
40065,ASHE TAP,Ashe,230,NORTHWEST,46.48,-119.33
40002,A6,Ashe,230,NORTHWEST,46.48,-119.33
40003,A8,Ashe,230,NORTHWEST,46.48,-119.33
40001,A9,Ashe,230,NORTHWEST,46.48,-119.33
40060,ASHE F,Ashe,230,NORTHWEST,46.48,-119.33
40063,CGS,Ashe,25,NORTHWEST,46.48,-119.33
30005,ROUND MT,Round Mountain,500,PG AND E,40.81,-121.94
30245,ROUND MT,Round Mountain,230,PG AND E,40.81,-121.94
40381,ECHOLAKE,Echo Lake,500,NORTHWEST,47.49,-121.87
40964,ECHSCH11,Echo Lake,500,NORTHWEST,47.49,-121.87
40966,ECHSCH12,Echo Lake,500,NORTHWEST,47.49,-121.87
40711,ECHMAP11,Mcloughlin,500,NORTHWEST,45.34,-122.56
43314,MCLOUGE5,Mcloughlin,230,NORTHWEST,45.34,-122.56
43322,BIGMCL13,Mcloughlin,230,NORTHWEST,45.34,-122.56
43313,MCLOUGLN,Mcloughlin,230,NORTHWEST,45.34,-122.56
40096,BELL SC,Bell,500,NORTHWEST,47.75,-117.37
40091,BELL BPA,Bell,500,NORTHWEST,47.75,-117.37
41359,BELCOU51,Bell,230,NORTHWEST,47.75,-117.37
