Bus,,,,,,,,,,,,,,,,,,
Number,Name,Sub ID,Sub Name,Area Name,Nom kV,PU Volt,Volt (kV),Angle (Deg),Load MW,Load Mvar,Gen MW,Sub Num,Gen Mvar,Switched Shunts Mvar,Act G Shunt MW,Act B Shunt Mvar,Area Num,Zone Num
41452,OSTKNI12,Found on WECC map,Knight,NORTHWEST,500,1.12305,561.525,-21.98,,,,52000131,,,0,0,40,401
41451,OSTKNI11,Found on WECC map,Knight,NORTHWEST,500,1.12136,560.681,-22.15,,,,52000131,,,0,0,40,401
40700,GRIMAL21,3337414038,Grizzly Power,NORTHWEST,500,1.12068,560.34,-26.52,,,,337414038,,,0,0,40,405
40708,GRIMAL25,3337414038,Grizzly Power,NORTHWEST,500,1.11084,555.422,-27.42,,,,337414038,,,0,0,40,405
41046,MALSUM12,3337424493,Summer Lake,NORTHWEST,500,1.10783,553.917,-26.72,,,,337424493,,,0,0,40,405
45040,CAPPON11,3337408690,Captain Jack,NORTHWEST,500,1.10654,553.27,-26.46,,,,337408690,,,0,0,40,405
41043,SUMMER L,3337424493,Summer Lake,NORTHWEST,500,1.10593,552.965,-25.85,,,,337424493,,,0,0,40,405
45041,CAPPON12,3337408690,Captain Jack,NORTHWEST,500,1.10541,552.703,-29.96,,,,337408690,,,0,0,40,405
41056,PONSUM14,3337424717,Tacoma,NORTHWEST,500,1.1054,552.7,-25.07,,,,337424717,,,0,0,40,405
41054,PONSUM13,3337424493,Summer Lake,NORTHWEST,500,1.1054,552.698,-25.06,,,,337424493,,,0,0,40,405
45042,CAPPON13,3337408690,Captain Jack,NORTHWEST,500,1.10524,552.621,-27.77,,,,337408690,,,0,0,40,405
45043,CAPPON14,3337408690,Captain Jack,NORTHWEST,500,1.10524,552.618,-27.77,,,,337408690,,,0,0,40,405
627202,TOWNSEND 2,,,MONTANA,500,1.10502,552.51,13.98,,,,,,,4.39,308.66,62,627
627201,TOWNSEND 1,,,MONTANA,500,1.10502,552.51,13.98,,,,,,,4.39,308.66,62,627
45197,MERIDINP,3337418010,Meridian,NORTHWEST,500,1.10405,552.023,-32.25,,,,337418010,,-181.62,0,0,40,470
45096,ALVDIX11,3337411001,Dixonville,NORTHWEST,500,1.1026,551.299,-33.14,,,,337411001,,,0,0,40,471
45044,CAPPON15,3337408690,Captain Jack,NORTHWEST,500,1.10246,551.23,-25.95,,,,337408690,,,0,0,40,405
45046,CAPPON16,3337408690,Captain Jack,NORTHWEST,500,1.10245,551.226,-25.94,,,,337408690,,,0,0,40,405
45262,KFALLS,3341136828,COB Energy Facility,NORTHWEST,500,1.10228,551.138,-29.11,,,,341136828,,,-4.48,181.29,40,484
41052,PONSUM12,3337424493,Summer Lake,NORTHWEST,500,1.10113,550.564,-23.4,,,,337424493,,,0,0,40,405
41048,PONSUM11,3337421061,Ponderosa,NORTHWEST,500,1.10112,550.559,-23.4,,,,337421061,,,0,0,40,405
45199,DIXMER11,3337418010,Meridian,NORTHWEST,500,1.10081,550.406,-32.68,,,,337418010,,,0,0,40,471
40706,GRIMAL24,3337417425,Malin,NORTHWEST,500,1.10027,550.134,-24.34,,,,337417425,,,0,0,40,405
40704,GRIMAL23,3337417425,Malin,NORTHWEST,500,1.10025,550.124,-24.33,,,,337417425,,,0,0,40,405
45035,CAPTJACK,3337408690,Captain Jack,NORTHWEST,500,1.1001,550.051,-28.78,,,,337408690,,-300.01,-16.03,358.23,40,405
41044,MALSUM11,3337424493,Summer Lake,NORTHWEST,500,1.1001,550.048,-23.58,,,,337424493,,,0,0,40,405
40688,MALIN R3,3337417425,Malin,NORTHWEST,500,1.09969,549.843,-28.67,,,,337417425,,0,0,0,40,405
40684,MALIN R1,3337417425,Malin,NORTHWEST,500,1.09968,549.842,-28.67,,,,337417425,,0,0,0,40,405
40687,MALIN,3337417425,Malin,NORTHWEST,500,1.09967,549.835,-28.66,,,,337417425,,0,-1.74,201.1,40,405
40451,GAR1EAST,3337413294,Garrison,NORTHWEST,500,1.09816,549.082,6.53,,,,337413294,,,0.06,-116.91,40,486
40453,GAR2EAST,3337413294,Garrison,NORTHWEST,500,1.09816,549.082,6.53,,,,337413294,,,0.06,-116.91,40,486
40961,COUSCH21,3337422960,Schultz,NORTHWEST,500,1.09475,547.376,-12.49,,,,337422960,,,0,0,40,403
40958,COUSCH11,3337422960,Schultz,NORTHWEST,500,1.09475,547.376,-12.49,,,,337422960,,,0,0,40,403
45095,DIXONVLE,3337411001,Dixonville,NORTHWEST,500,1.09459,547.296,-31.79,,,,337411001,,0,0,0,40,471
40591,GRIJOH12,3337414038,Grizzly Power,NORTHWEST,500,1.09442,547.209,-19.52,,,,337414038,,,0,0,40,405
40593,GRIJOH22,3337415779,Keeler,NORTHWEST,500,1.09438,547.192,-19.55,,,,337415779,,,0,0,40,405
40718,ASHMAR22,3337406571,Ashe,NORTHWEST,500,1.09361,546.804,-15.12,,,,337406571,,,0,0,40,404
41450,KNIGHT,Found on WECC map,Knight,NORTHWEST,500,1.09343,546.717,-16.54,,,,52000131,,,0,0,40,403
40719,ASHMAR23,3337406571,Ashe,NORTHWEST,500,1.09221,546.107,-21.94,,,,337406571,,,0,0,40,404
40837,PONDROSA,3337421061,Ponderosa,NORTHWEST,500,1.09198,545.988,-21.59,,,,337421061,,,0,0,40,405
30005,ROUND MT,3337422310,Round Mountain,PG AND E,500,1.09193,545.963,-31.21,,,,337422310,,,1248,1071.91,30,300
40381,ECHOLAKE,3337411565,Echo Lake,NORTHWEST,500,1.09109,545.545,-18.71,,,,337411565,,752.38,0,0,40,400
40711,ECHMAP11,3337417861,Mcloughlin,NORTHWEST,500,1.09067,545.337,-18.8,,,,337417861,,,0,0,40,400
40710,GRIMAL26,3337414038,Grizzly Power,NORTHWEST,500,1.09048,545.24,-21.37,,,,337414038,,,0,0,40,405
40096,BELL SC,3337407193,Bell,NORTHWEST,500,1.09015,545.073,0.37,,,,337407193,,-176.84,0,0,40,406
40716,ASHMAR21,3337406571,Ashe,NORTHWEST,500,1.08979,544.893,-11.38,,,,337406571,,,0,0,40,404
40869,RAVER,3337421613,Raver,NORTHWEST,500,1.08957,544.785,-18.12,,,,337421613,,760.62,0,0,40,400
41058,RAVTAC11,3337424717,Tacoma,NORTHWEST,500,1.08957,544.785,-18.13,,,,337424717,,,0,0,40,400
