Gen,,,,,,,,,,,,,,,,
Number of Bus,Name of Bus,Sub Name of Bus,Area Name of Bus,ID,Status,Gen MW,Gen Mvar,Set Volt,AGC,AVR,Min MW,Max MW,Min Mvar,Max Mvar,Cost Model,Part. Factor
10318,SJUAN_G1,San Juan 345,NEW MEXICO,1,Closed,360,52.48,1.029,YES,YES,0,373,-140,184,None,373
10319,SJUAN_G2,San Juan 345,NEW MEXICO,1,Closed,350,52.48,1.029,YES,YES,0,373,-158,191,None,373
10320,SJUAN_G3,San Juan 345,NEW MEXICO,1,Closed,544,78.72,1.029,YES,YES,0,544,-209.88,279.56,None,544
10321,SJUAN_G4,San Juan 345,NEW MEXICO,1,Closed,415.53,78.72,1.029,YES,YES,0,544,-259.65,354.92,None,544
14903,CHOLLA4,Cholla,ARIZONA,1,Closed,412,30.86,1,YES,YES,0,414,-150,200,None,414
14914,FCNGN4CC,Four Corners (AZPS),ARIZONA,H,Closed,424,-14.46,1.014,YES,YES,0,434.7,-160,210,None,434.7
14914,FCNGN4CC,Four Corners (AZPS),ARIZONA,L,Closed,374,-14.46,1.014,YES,YES,0,383.4,-150,190,None,383.4
14915,FCNGN5CC,Four Corners (AZPS),ARIZONA,H,Closed,424,18.19,1.007,YES,YES,0,434.7,-160,210,None,434.7
14915,FCNGN5CC,Four Corners (AZPS),ARIZONA,L,Closed,374,18.19,1.007,YES,YES,0,383.4,-150,190,None,383.4
14931,PALOVRD1,Palo Verde,ARIZONA,1,Closed,1376,367.46,1.06,YES,YES,0,1376,-310,560,None,1376
14932,PALOVRD2,Palo Verde,ARIZONA,1,Closed,1379,367.46,1.06,YES,YES,0,1379,-310,560,None,1379
14933,PALOVRD3,Palo Verde,ARIZONA,1,Closed,1377,367.46,1.06,YES,YES,0,1377,-310,560,None,1377
15166,MES-ST1,Mesquite Power,ARIZONA,1,Closed,250,3.74,1,YES,YES,0,321,-100,200,None,321
15169,MES-ST2,Mesquite Power,ARIZONA,1,Closed,250,3.74,1,YES,YES,0,321,-100,200,None,321
15971,CORONAD1,Coronado,ARIZONA,1,Closed,419,-27.09,0.92,YES,YES,0,429,-50,190,None,429
15972,CORONAD2,Coronado,ARIZONA,1,Closed,421,-28.86,0.92,YES,YES,0,421,-50,190,None,421
15981,NAVAJO 1,Navajo (SRP),ARIZONA,1,Closed,804.99,28.88,0.982,YES,YES,0,805,-140,350,None,805
15982,NAVAJO 2,Navajo (SRP),ARIZONA,1,Closed,804,28.68,0.982,YES,YES,0,805,-140,350,None,805
15983,NAVAJO 3,Navajo (SRP),ARIZONA,1,Closed,804.99,29.44,0.982,YES,YES,0,805,-140,350,None,805
16500,SPR GEN1,Springerville,ARIZONA,1,Closed,169,61.96,0.997,YES,YES,100,420,-120,215,None,420
16501,SPR GEN2,Springerville,ARIZONA,1,Closed,419,74.2,0.997,YES,YES,100,420,-120,215,None,420
16519,SPR GEN4,Springerville,ARIZONA,1,Closed,400,69.61,1.038,YES,YES,100,430,-150,200,None,430
18407,HIGGINS3,Arden,NEVADA,1,Closed,109,58.29,1,YES,YES,0,330,-165,260,None,330
22981,TDM STG,Imperial Valley (Drew),SANDIEGO,1,Closed,130,4.93,1.014,YES,YES,0,308,-146,195,None,308
