Substation,,,,,,,,,,,,,,
Sub Num,Sub Name,Sub ID,Area Name,Zone Name,# of Buses,Nominal kV(max),Latitude,Longitude,Gen MW,Gen Mvar,Load MW,Load Mvar,Shunt MW,Shunt Mvar
2000002,Andrew York,Sub2000002,NORTHWEST,Central Washington,1,230,,,,,,,106.03,-41.1
3477941,Lion Mountain,3477941,NORTHWEST,Western Montana,1,230,48.1,-114.25,1,0,51.1,16.8,,
12324430,Montana One,12324430,,,0,0,46.06,-106.61,,,,,,
25000019,Greenbry,25000019,NORTHWEST,Lower Columbia Basin,1,500,44.38,-123.11,,,,,,
25000149,Springville,25000149,NORTHWEST,Portland General - BES NODE,1,230,45.81,-122.72,,,,,,
25000792,Bose,25000792,,,0,0,32.54,-114.63,,,,,,
25000882,SLR,25000882,,,0,0,31.96,-115.38,,,,,,
25000910,Silicon,25000910,NORTHWEST,"Grant County, WA",2,230,47.21,-119.23,,,51.55,14.22,,
25000918,Parish Gap,25000918,NORTHWEST,PAC:WLMT,1,230,44.73,-122.83,,,,,52.84,-12.23
25052252,Tasman,25052252,,,0,0,37.48,-121.89,,,,,,
25052692,Butler Creek,25052692,,,0,0,46.89,-114.41,,,,,,
25052740,Fish Creek,25052740,,,0,0,46.25,-109.45,,,,,,
25052815,Placid Lake,25052815,,,0,0,47.03,-113.62,,,,,,
25052859,Thumberry,25052859,,,0,0,41.24,-122.19,,,,,,
25052985,Stillwater,25052985,,,0,0,40.18,-105.84,,,,,,
30004005,Linneman,30004005,NORTHWEST,Portland General - BES S/S,1,230,45.5,-122.42,,,,,113.72,0.5
30004006,Blue Lake,30004006,NORTHWEST,Portland General - BES S/S,1,230,45.59,-122.49,,,,,208.63,-27.25
30004008,Monitor,30004008,NORTHWEST,Portland General - BES S/S,1,230,45.18,-122.67,,,,,84.1,-0.11
30004092,Mattawa,30004092,NORTHWEST,"Grant County, WA",1,230,46.79,-119.96,,,17.83,0.8,,
30004101,Hew,30004101,NORTHWEST,Lower Columbia Basin,2,230,46.52,-119.54,,,,,,
