Branch,,,,,,,,,,,,,,
From Number,From Name,To Number,To Name,Circuit,Status,Branch Device Type,Xfrmr,MW From ,Mvar From ,MVA From ,Lim MVA,% of MVA Limit (Max),MW Loss,Mvar Loss
10025,B-A,10116,GUADLUPE,1,Closed,Line,NO,-163.1,-22.5,164.6,1076,16,1.12,-75.33
10025,B-A,10229,NORTON,1,Closed,Line,NO,157.9,-64.1,170.4,956,17.8,0.52,-34.22
10025,B-A,10229,NORTON,99,Closed,Line,NO,12.4,-2.6,12.6,0,0,0.01,0.41
10025,B-A,10232,OJO,99,Closed,Line,NO,-4.4,1,4.5,0,0,0.06,0.45
10025,B-A,10294,SANDIA,99,Closed,Line,NO,17.1,-0.6,17.1,0,0,0.03,1.1
10025,B-A,10369,WESTMESA,99,Closed,Line,NO,32,0.5,32,0,0,0.02,1.24
10389,SANB-A12,10025,B-A,1,Closed,Line,NO,508.5,-66.5,512.9,1004,52.4,2.66,5.51
10025,B-A,10390,RIOPUERC,1,Closed,Line,NO,234.8,-30.5,236.8,1076,22,0.56,-15.56
10390,RIOPUERC,10025,B-A,2,Open,Line,NO,0,0,0,1004,0,0,0
10025,B-A,10390,RIOPUERC,99,Closed,Line,NO,3.9,0,3.9,0,0,0,0.1
10025,B-A,12058,PEGS1,99,Closed,Line,NO,-13.1,3.1,13.5,0,0,0.32,2.93
10116,GUADLUPE,10999,TAIBANMS,1,Closed,Line,NO,-97.3,-26.8,100.9,1076,9.7,0.3,-63.45
10229,NORTON,10232,OJO,99,Closed,Line,NO,-43.2,7.3,43.8,0,0,0.19,5.76
10229,NORTON,10294,SANDIA,99,Closed,Line,NO,1.8,0,1.8,0,0,0.01,0.06
10229,NORTON,10369,WESTMESA,99,Closed,Line,NO,1.5,1.1,1.8,0,0,0,0.02
10229,NORTON,12082,TAOS,99,Closed,Line,NO,-15,1.5,15,0,0,-0.03,1.7
10842,JICARILLA,10232,OJO,1,Closed,Line,NO,225.1,-45.2,229.6,956,24,1.68,-50.34
10232,OJO,12082,TAOS,1,Closed,Line,NO,103,-42.5,111.5,299,37.3,0.22,-33.57
10232,OJO,12082,TAOS,99,Closed,Line,NO,4.4,-0.7,4.5,0,0,0,0.09
10292,SAN_JUAN,10318,SJUAN_G1,1,Closed,Transformer,YES,-316,4.1,316,357,88.8,0,29.23
10292,SAN_JUAN,10319,SJUAN_G2,1,Closed,Transformer,YES,-312,3.6,312,357,87.8,0,32.46
10292,SAN_JUAN,10320,SJUAN_G3,1,Closed,Transformer,YES,-488,4.7,488,585,83.8,0,48.59
