Bus,,,,,,,,,,,,,,,,,,
Number,Name,Area Name,Sub ID,Sub Name,Sub Num,Nom kV,PU Volt,Volt (kV),Angle (Deg),Load MW,Load Mvar,Gen MW,Gen Mvar,Switched Shunts Mvar,Act G Shunt MW,Act B Shunt Mvar,Area Num,Zone Num
41452,OSTKNI12,NORTHWEST,Found on WECC map,Knight,52000131,500,1.12301,561.505,-19.1,,,,,,0,0,40,401
41451,OSTKNI11,NORTHWEST,Found on WECC map,Knight,52000131,500,1.12132,560.66,-19.27,,,,,,0,0,40,401
40700,GRIMAL21,NORTHWEST,3337414038,Grizzly Power,337414038,500,1.12033,560.166,-24.09,,,,,,0,0,40,405
45197,MERIDINP,NORTHWEST,3337418010,Meridian,337418010,500,1.11165,555.824,-29.64,,,,,-184.13,0,0,40,470
45096,ALVDIX11,NORTHWEST,3337411001,Dixonville,337411001,500,1.11087,555.437,-30.52,,,,,,0,0,40,471
40708,GRIMAL25,NORTHWEST,3337414038,Grizzly Power,337414038,500,1.11034,555.171,-25.03,,,,,,0,0,40,405
41046,MALSUM12,NORTHWEST,3337424493,Summer Lake,337424493,500,1.10717,553.584,-24.29,,,,,,0,0,40,405
45040,CAPPON11,NORTHWEST,3337408690,Captain Jack,337408690,500,1.10598,552.992,-24.02,,,,,,0,0,40,405
45095,DIXONVLE,NORTHWEST,3337411001,Dixonville,337411001,500,1.1059,552.95,-29.11,,,,,0,0,0,40,471
45041,CAPPON12,NORTHWEST,3337408690,Captain Jack,337408690,500,1.1053,552.648,-27.65,,,,,,0,0,40,405
41043,SUMMER L,NORTHWEST,3337424493,Summer Lake,337424493,500,1.10521,552.607,-23.39,,,,,,0,0,40,405
627202,TOWNSEND 2,MONTANA,,,,500,1.1049,552.45,17.34,,,,,,0,0,62,627
627201,TOWNSEND 1,MONTANA,,,,500,1.1049,552.45,17.34,,,,,,0,0,62,627
45042,CAPPON13,NORTHWEST,3337408690,Captain Jack,337408690,500,1.1049,552.449,-25.38,,,,,,0,0,40,405
45043,CAPPON14,NORTHWEST,3337408690,Captain Jack,337408690,500,1.10489,552.446,-25.37,,,,,,0,0,40,405
45199,DIXMER11,NORTHWEST,3337418010,Meridian,337418010,500,1.10488,552.439,-30.17,,,,,,0,0,40,471
41056,PONSUM14,NORTHWEST,3337424717,Tacoma,337424717,500,1.10471,552.355,-22.57,,,,,,0,0,40,405
41054,PONSUM13,NORTHWEST,3337424493,Summer Lake,337424493,500,1.10471,552.353,-22.57,,,,,,0,0,40,405
45262,KFALLS,NORTHWEST,3341136828,COB Energy Facility,341136828,500,1.10426,552.132,-26.68,-6.56,-264.22,,,,0,0,40,484
40714,ALVMAR11,NORTHWEST,3337406231,Alvey,337406231,500,1.10421,552.104,-31.47,,,,,,0,0,40,402
627204,GARTOW12,MONTANA,,,,500,1.10401,552.007,13.61,,,,,,0,0,62,627
627206,GARTOW22,MONTANA,,,,500,1.10401,552.007,13.61,,,,,,0,0,62,627
45044,CAPPON15,NORTHWEST,3337408690,Captain Jack,337408690,500,1.10202,551.01,-23.48,,,,,,0,0,40,405
45046,CAPPON16,NORTHWEST,3337408690,Captain Jack,337408690,500,1.10201,551.006,-23.48,,,,,,0,0,40,405
41052,PONSUM12,NORTHWEST,3337424493,Summer Lake,337424493,500,1.10055,550.275,-20.85,,,,,,0,0,40,405
41048,PONSUM11,NORTHWEST,3337421061,Ponderosa,337421061,500,1.10054,550.269,-20.85,,,,,,0,0,40,405
45035,CAPTJACK,NORTHWEST,3337408690,Captain Jack,337408690,500,1.09972,549.861,-26.42,,,,,-299.81,0,0,40,405
