Substation,,,,,,,,,,,,,,
Sub Num,Sub Name,Sub ID,Area Name,Zone Name,Latitude,Longitude,# of Buses,Nominal kV(max),Gen MW,Gen Mvar,Load MW,Load Mvar,Shunt MW,Shunt Mvar
2000002,Sub2000002,Sub2000002,NORTHWEST,Central Washington,,,1,230,,,151.85,26.9,,
3477941,Lion Mountain,3477941,NORTHWEST,Western Montana,48.1,-114.25,1,230,1,0,51.1,16.8,,
25000019,Greenbry,25000019,NORTHWEST,Lower Columbia Basin,44.38,-123.11,1,500,,,,,,
25000149,Springville,25000149,NORTHWEST,Portland General - BES NODE,45.81,-122.72,1,230,,,,,,
25000910,Silicon,25000910,NORTHWEST,"Grant County, WA",47.21,-119.23,2,230,,,51.55,14.22,,
25000916,DrJohnson,25000916,NORTHWEST,PAC:ROSE,42.97,-123.27,1,115,6.98,0,42.79,-49.93,,
25000918,Parish Gap,25000918,NORTHWEST,PAC:WLMT,44.73,-122.83,1,230,,,53.19,12.31,,
25052026,Port LeBrun,25052026,NORTHWEST,Portland General - Generation,45.45,-122.29,2,13.8,0,0,0,0,,
25052714,Copper River,25052714,ARIZONA,Phelps-Dodge,32.78,-109.27,1,345,,,285.46,136.18,,
30004005,Linneman,30004005,NORTHWEST,Portland General - BES S/S,45.5,-122.42,1,230,,,36.48,-0.12,,
30004006,Blue Lake,30004006,NORTHWEST,Portland General - BES S/S,45.59,-122.49,1,230,,,156.07,27.15,,
30004008,Monitor,30004008,NORTHWEST,Portland General - BES S/S,45.18,-122.67,1,230,,,82.3,-0.67,,
30004092,Mattawa,30004092,NORTHWEST,"Grant County, WA",46.79,-119.96,1,230,,,17.83,0.8,,
30004101,Hew,30004101,NORTHWEST,Lower Columbia Basin,46.52,-119.54,2,230,,,,,,
30004107,Marcola,30004107,NORTHWEST,Western Oregon,44.19,-122.84,2,230,,,11.6,3.8,,
30004129,Baldi,30004129,NORTHWEST,S.KINGI,47.21,-121.69,1,230,,,1.04,0.69,,
30004132,Klahanie,30004132,NORTHWEST,N.KING,47.57,-122.12,2,230,,,23.65,0.41,,
30004170,Tarzana,30004170,LADWP,LA EASTERN-AC,34.1,-118.46,1,500,,,,,,
30004262,Idaho-Nevada,30004262,SIERRA,Zone27,42,-115.43,1,345,,,,,,
30004265,Peacock,30004265,ARIZONA,WAPA-DSW,35.17,-113.65,1,345,,,-31.9,-21.18,,
30004298,Horseranch,30004298,NORTHWEST,N.KING,48,-122.11,5,230,,,,,,
30004351,Terrell Creek,30004351,NORTHWEST,WHATCOM,48.83,-122.53,3,13.8,267.2,135.37,107,89.17,,
30004496,Novelty,30004496,NORTHWEST,N.KING,47.69,-121.85,2,230,,,242.44,52.95,,
30004598,Simpson,30004598,NORTHWEST,Tacoma Power - Mutuals,47.29,-122.33,1,13.8,64,0,66.49,13.13,,
30004761,Headwork,30004761,NORTHWEST,Spokane Area Publics,47.69,-119.77,1,13.8,0,0,,,,
30004852,Clearwater,30004852,NORTHWEST,AVA: Lewiston/Clarkston,46.4,-116.97,2,12,50,62.3,72.97,42.93,,
30004888,I.E. Paper,30004888,NORTHWEST,AVA: Spokane,47.65,-117.26,2,13.8,-49.22,13,-0.01,10.05,,
30050288,Toluca,30050288,LADWP,LA EASTERN-AC,34.23,-118.45,1,500,,,1219.14,-251.88,,
32000215,Coid,32000215,NORTHWEST,PAC:C.OR,44.02,-121.21,1,69,3,0,129.81,-29.75,,
32000241,Farmrirr,32000241,NORTHWEST,PAC:HDRV,45.65,-121.53,1,69,0.5,0,6.9,0.96,,
32000255,Sulphur,32000255,NORTHWEST,Lower Columbia Basin,46.33,-119.94,1,230,,,88.03,-8.56,,
32000395,Vas,32000395,B.C.HYDRO,BC HYDRO,49.33,-119.4,1,500,,,280.49,76.46,,-30.02
32008816,Jones Canyon,32008816,NORTHWEST,Lower Columbia Basin,45.65,-120.14,4,230,0,0,-6.36,-89.68,0,0
32008859,Ft. Sage,32008859,SIERRA,Zone27,40.76,-120.67,2,345,,,3.65,1.39,,-35.53
32008880,Lakeside,32008880,NORTHWEST,Western Montana,47.92,-114.27,1,230,,,7.6,2.5,,
32008902,Sierra,32008902,NORTHWEST,"Seattle Area, Olympic Peninsula",46.94,-123.87,1,115,8,0,3.79,-1.27,,
32008906,Spring Creek,32008906,NORTHWEST,Lower Columbia Basin,45.86,-120.5,1,230,,,,,,
