Time,Bus Johnsonville_g4 V angle,Bus GOODLETTSVILLE_37072_230.0 V angle,Bus LEBANON_37087_230.0 V angle,Bus ANTIOCH_37013_230.0 V angle,Bus BRENTWOOD_37027_230.0 V angle,Bus NASHVILLE_37209_230.0 V angle,Bus MCMINNVILLE_37110_230.0 V angle,Bus MURFREESBORO_37130_230.0 V angle,Bus SHELBYVILLE_37160_230.0 V angle,Bus LAFAYETTE_37083_230.0 V angle,Bus CLARKSVILLE_37042_230.0 V angle,Bus DICKSON_37055_230.0 V angle,Bus NASHVILLE_37221_230.0 V angle,Bus CLARKSVILLE_37040_230.0 V angle,Bus WHITE HOUSE_37188_230.0 V angle,Bus FRANKLIN_37064_230.0 V angle,Bus HENDERSONVILLE_37075_230.0 V angle,Bus HERMITAGE_37076_230.0 V angle,Bus SMYRNA_37167_230.0 V angle,Bus LEXINGTON_38351_230.0 V angle,Bus NASHVILLE_37207_230.0 V angle,Bus NASHVILLE_37215_230.0 V angle,Bus MURFREESBORO_37129_230.0 V angle,Bus CAMDEN_38320_230.0 V angle,Bus GAINESBORO_38562_230.0 V angle,Bus COLUMBIA_38401_230.0 V angle,Bus TULLAHOMA_37388_230.0 V angle,Bus NASHVILLE_37212_230.0 V angle,Bus NASHVILLE_37206_230.0 V angle,Bus NASHVILLE_37211_230.0 V angle,Bus CHATTANOOGA_37405_230.0 V angle,Bus CHATTANOOGA_37421_230.0 V angle,Bus ATHENS_37303_230.0 V angle,Bus CLEVELAND_37311_230.0 V angle,Bus SODDY DAISY_37379_230.0 V angle,Bus COPPERHILL_37317_230.0 V angle,Bus DAYTON_37321_230.0 V angle,Bus DUNLAP_37327_230.0 V angle,Bus FAYETTEVILLE_37334_230.0 V angle,Bus HIXSON_37343_230.0 V angle,Bus CHATTANOOGA_37404_230.0 V angle,Bus JOHNSON CITY_37601_230.0 V angle,Bus JONESBOROUGH_37659_230.0 V angle,Bus GREENEVILLE_37745_230.0 V angle,Bus ELIZABETHTON_37643_230.0 V angle,Bus CHURCH HILL_37642_230.0 V angle,Bus KINGSPORT_37660_230.0 V angle,Bus MOUNTAIN CITY_37683_230.0 V angle,Bus MARYVILLE_37804_230.0 V angle,Bus CLINTON_37716_230.0 V angle,Bus MORRISTOWN_37814_230.0 V angle,Bus KNOXVILLE_37914_230.0 V angle,Bus LOUDON_37774_230.0 V angle,Bus JEFFERSON CITY_37760_230.0 V angle,Bus LA FOLLETTE_37766_230.0 V angle,Bus KNOXVILLE_37918_230.0 V angle,Bus CROSSVILLE_38555_230.0 V angle,Bus TAZEWELL_37879_230.0 V angle,Bus HARRIMAN_37748_230.0 V angle,Bus SEVIERVILLE_37876_230.0 V angle,Bus MARYVILLE_37803_230.0 V angle,Bus KNOXVILLE_37922_230.0 V angle,Bus KNOXVILLE_37921_230.0 V angle,Bus KNOXVILLE_37919_230.0 V angle,Bus HUMBOLDT_38343_230.0 V angle,Bus ARLINGTON_38002_230.0 V angle,Bus BRIGHTON_38011_230.0 V angle,Bus UNION CITY_38261_230.0 V angle,Bus WHITEVILLE_38075_230.0 V angle,Bus BROWNSVILLE_38012_230.0 V angle,Bus CORDOVA_38016_230.0 V angle,Bus COLLIERVILLE_38017_230.0 V angle,Bus DYERSBURG_38024_230.0 V angle,Bus MEMPHIS_38134_230.0 V angle,Bus MEMPHIS_38127_230.0 V angle,Bus MEMPHIS_38103_230.0 V angle,Bus MEMPHIS_38109_230.0 V angle,Bus MEMPHIS_38128_230.0 V angle,Bus MEMPHIS_38111_230.0 V angle,Bus MEMPHIS_38115_230.0 V angle,Bus MEMPHIS_38118_230.0 V angle,Bus GERMANTOWN_38138_230.0 V angle,Bus HUNTINGDON_38344_230.0 V angle,Bus PARIS_38242_230.0 V angle,Bus MARTIN_38237_230.0 V angle,Bus JACKSON_38305_230.0 V angle,Bus ADAMSVILLE_38310_230.0 V angle,Bus SAVANNAH_38372_230.0 V angle,Bus LAWRENCEBURG_38464_230.0 V angle,Bus COOKEVILLE_38501_230.0 V angle,Bus LIVINGSTON_38570_230.0 V angle,Bus KNOXVILLE_37921_500.0 V angle,Bus JEFFERSON CITY_37760_500.0 V angle,Bus HIXSON_37343_500.0 V angle,Bus JACKSON_38305_500.0 V angle,Bus MURFREESBORO_37129_500.0 V angle,Bus JONESBOROUGH_37659_500.0 V angle,Bus CLARKSVILLE_37042_500.0 V angle,Bus MEMPHIS_38111_500.0 V angle,Bus KNOXVILLE_37919_500.0 V angle,Bus NASHVILLE_37215_500.0 V angle,Bus MURFREESBORO_37130_500.0 V angle,Bus ELIZABETHTON_37643_500.0 V angle,Bus CORDOVA_38016_500.0 V angle,Bus COOKEVILLE_38501_500.0 V angle,Bus TULLAHOMA_37388_500.0 V angle,Bus ATHENS_37303_500.0 V angle,Bus CLARKSVILLE_37040_500.0 V angle,Bus MARYVILLE_37804_500.0 V angle,Bus Gallatin (TN)_g1 V angle,Bus Gallatin (TN)_g2 V angle,Bus Gallatin (TN)_g3 V angle,Bus John Sevier_g1 V angle,Bus John Sevier_g2 V angle,Bus John Sevier_g3 V angle,Bus Johnsonville_g1 V angle,Bus Johnsonville_g2 V angle,Bus Johnsonville_g3 V angle,Bus Johnsonville_g5 V angle,Bus Kingston_g1 V angle,Bus Kingston_g2 V angle,Bus Kingston_g3 V angle,Bus Kingston_g4 V angle,Bus Lagoon Creek_g1 V angle,Bus Lagoon Creek_g2 V angle,Bus Lagoon Creek_g3 V angle,Bus Lagoon Creek_g4 V angle,Bus Lagoon Creek_g5 V angle,Bus Pickwick Landing Dam_g1 V angle,Bus Sequoyah_g1 V angle,Bus Sequoyah_g2 V angle,Bus Sequoyah_g3 V angle,Bus Sequoyah_g4 V angle,Bus Sequoyah_g5 V angle,Bus Tims Ford_g1 V angle,Bus Lagoon Creek_230.0 V angle,Bus Lagoon Creek_500.0 V angle,Bus Kingston_230.0 V angle,Bus Kingston_500.0 V angle,Bus Tims Ford_230.0 V angle,Bus Gallatin (TN)_230.0 V angle,Bus Gallatin (TN)_500.0 V angle,Bus Johnsonville_230.0 V angle,Bus Johnsonville_500.0 V angle,Bus Sequoyah_230.0 V angle,Bus Sequoyah_500.0 V angle,Bus Pickwick Landing Dam_230.0 V angle,Bus Pickwick Landing Dam_500.0 V angle,Bus John Sevier_230.0 V angle,Bus John Sevier_500.0 V angle
0,0,-13.3224,-12.2763,-13.5941,-15.4674,-14.399,-12.4313,-11.0346,-16.0055,-11.1403,-8.3012,-12.6233,-15.743,-9.6897,-11.7729,-16.7599,-11.7385,-13.1627,-13.2624,-10.398,-13.1843,-12.553,-11.9252,-6.3557,-11.0325,-18.0245,-9.948,-13.971,-13.2364,-13.5803,-9.4724,-7.5251,-8.9087,-8.6445,-6.8499,-8.3551,-9.2717,-10.6209,-13.8449,-7.3518,-8.7236,-15.5271,-15.088,-14.8548,-15.0467,-14.5152,-15.8784,-15.6018,-11.9073,-13.252,-14.5845,-13.8036,-9.9999,-13.6693,-12.7553,-13.5643,-11.2425,-14.8599,-9.7425,-14.7027,-11.627,-11.4641,-11.7876,-11.5185,-12.3259,-16.0161,-14.1895,-13.221,-13.1877,-12.29,-16.2727,-16.5325,-12.7482,-16.8693,-17.2665,-16.9255,-17.4344,-17.2711,-15.6887,-16.829,-16.7847,-16.9936,-12.3957,-9.709,-12.2328,-9.7185,-12.6764,-13.7067,-18.7509,-9.9615,-11.2583,-8.5623,-10.864,-3.8066,-6.8922,-8.1173,-12.0948,-5.4536,-11.4034,-8.1144,-7.433,-7.9726,-12.6631,-11.1193,-6.8281,-7.0208,-6.0496,-5.7642,-8.9059,-3.6306,-3.6306,-3.6306,-8.0971,-8.0971,-8.0971,-0.0042,-0.0042,-0.0042,-0.0042,-2.8222,-2.8222,-2.8222,-2.8222,-4.9739,-4.9739,-4.9739,-4.9739,-4.9739,-4.8359,0.0913,0.0913,0.0913,0.0913,0.0913,-8.4979,-10.9278,-7.8399,-8.6597,-5.684,-11.3944,-10.0141,-6.4978,-5.7627,-2.8583,-6.0287,-2.7648,-10.5669,-7.6983,-12.9095,-10.9636
0.00833,0,-13.3224,-12.2763,-13.5941,-15.4674,-14.399,-12.4313,-11.0346,-16.0055,-11.1403,-8.3012,-12.6233,-15.743,-9.6897,-11.7729,-16.7599,-11.7385,-13.1627,-13.2624,-10.398,-13.1843,-12.553,-11.9252,-6.3557,-11.0325,-18.0245,-9.948,-13.971,-13.2364,-13.5803,-9.4724,-7.5251,-8.9087,-8.6445,-6.8499,-8.3551,-9.2717,-10.6209,-13.8449,-7.3518,-8.7236,-15.5271,-15.088,-14.8548,-15.0467,-14.5152,-15.8784,-15.6018,-11.9073,-13.252,-14.5845,-13.8036,-9.9999,-13.6693,-12.7553,-13.5643,-11.2425,-14.8599,-9.7425,-14.7027,-11.627,-11.4641,-11.7876,-11.5185,-12.3259,-16.0161,-14.1895,-13.221,-13.1877,-12.29,-16.2727,-16.5325,-12.7482,-16.8693,-17.2665,-16.9255,-17.4344,-17.2711,-15.6887,-16.829,-16.7847,-16.9936,-12.3957,-9.709,-12.2328,-9.7185,-12.6764,-13.7067,-18.7509,-9.9615,-11.2583,-8.5623,-10.864,-3.8066,-6.8922,-8.1173,-12.0948,-5.4536,-11.4034,-8.1144,-7.433,-7.9726,-12.6631,-11.1193,-6.8281,-7.0208,-6.0496,-5.7642,-8.9059,-3.6306,-3.6306,-3.6306,-8.0971,-8.0971,-8.0971,-0.0042,-0.0042,-0.0042,-0.0042,-2.8222,-2.8222,-2.8222,-2.8222,-4.9739,-4.9739,-4.9739,-4.9739,-4.9739,-4.8359,0.0913,0.0913,0.0913,0.0913,0.0913,-8.4979,-10.9278,-7.8399,-8.6597,-5.684,-11.3944,-10.0141,-6.4978,-5.7627,-2.8583,-6.0287,-2.7648,-10.5669,-7.6983,-12.9095,-10.9636
0.01666,0,-13.3224,-12.2763,-13.5941,-15.4674,-14.399,-12.4313,-11.0346,-16.0055,-11.1403,-8.3012,-12.6233,-15.743,-9.6897,-11.7729,-16.7599,-11.7385,-13.1627,-13.2624,-10.398,-13.1843,-12.553,-11.9252,-6.3557,-11.0325,-18.0245,-9.948,-13.971,-13.2364,-13.5803,-9.4724,-7.5251,-8.9087,-8.6445,-6.8499,-8.3551,-9.2717,-10.6209,-13.8449,-7.3518,-8.7236,-15.5271,-15.088,-14.8548,-15.0467,-14.5152,-15.8784,-15.6018,-11.9073,-13.252,-14.5845,-13.8036,-9.9999,-13.6693,-12.7553,-13.5643,-11.2425,-14.8599,-9.7425,-14.7027,-11.627,-11.4641,-11.7876,-11.5185,-12.3259,-16.0161,-14.1895,-13.221,-13.1877,-12.29,-16.2727,-16.5325,-12.7482,-16.8693,-17.2665,-16.9255,-17.4344,-17.2711,-15.6887,-16.829,-16.7847,-16.9936,-12.3957,-9.709,-12.2328,-9.7185,-12.6764,-13.7067,-18.7509,-9.9615,-11.2583,-8.5623,-10.864,-3.8066,-6.8922,-8.1173,-12.0948,-5.4536,-11.4034,-8.1144,-7.433,-7.9726,-12.6631,-11.1193,-6.8281,-7.0208,-6.0496,-5.7642,-8.9059,-3.6306,-3.6306,-3.6306,-8.0971,-8.0971,-8.0971,-0.0042,-0.0042,-0.0042,-0.0042,-2.8222,-2.8222,-2.8222,-2.8222,-4.9739,-4.9739,-4.9739,-4.9739,-4.9739,-4.8359,0.0913,0.0913,0.0913,0.0913,0.0913,-8.4979,-10.9278,-7.8399,-8.6597,-5.684,-11.3944,-10.0141,-6.4978,-5.7627,-2.8583,-6.0287,-2.7648,-10.5669,-7.6983,-12.9095,-10.9636
0.02499,0,-13.3224,-12.2763,-13.5941,-15.4674,-14.399,-12.4313,-11.0346,-16.0055,-11.1403,-8.3012,-12.6233,-15.743,-9.6897,-11.7729,-16.7599,-11.7385,-13.1627,-13.2624,-10.398,-13.1843,-12.553,-11.9252,-6.3557,-11.0325,-18.0245,-9.948,-13.971,-13.2364,-13.5803,-9.4724,-7.5251,-8.9087,-8.6445,-6.8499,-8.3551,-9.2717,-10.6209,-13.8449,-7.3518,-8.7236,-15.5271,-15.088,-14.8548,-15.0467,-14.5152,-15.8784,-15.6018,-11.9073,-13.252,-14.5845,-13.8036,-9.9999,-13.6693,-12.7553,-13.5643,-11.2425,-14.8599,-9.7425,-14.7027,-11.627,-11.4641,-11.7876,-11.5185,-12.3259,-16.0161,-14.1895,-13.221,-13.1877,-12.29,-16.2727,-16.5325,-12.7482,-16.8693,-17.2665,-16.9255,-17.4344,-17.2711,-15.6887,-16.829,-16.7847,-16.9936,-12.3957,-9.709,-12.2328,-9.7185,-12.6764,-13.7067,-18.7509,-9.9615,-11.2583,-8.5623,-10.864,-3.8066,-6.8922,-8.1173,-12.0948,-5.4536,-11.4034,-8.1144,-7.433,-7.9726,-12.6631,-11.1193,-6.8281,-7.0208,-6.0496,-5.7642,-8.9059,-3.6306,-3.6306,-3.6306,-8.0971,-8.0971,-8.0971,-0.0042,-0.0042,-0.0042,-0.0042,-2.8222,-2.8222,-2.8222,-2.8222,-4.9739,-4.9739,-4.9739,-4.9739,-4.9739,-4.8359,0.0913,0.0913,0.0913,0.0913,0.0913,-8.4979,-10.9278,-7.8399,-8.6597,-5.684,-11.3944,-10.0141,-6.4978,-5.7627,-2.8583,-6.0287,-2.7648,-10.5669,-7.6983,-12.9095,-10.9636
0.03332,0,-13.3224,-12.2763,-13.5941,-15.4674,-14.399,-12.4313,-11.0346,-16.0055,-11.1403,-8.3012,-12.6233,-15.743,-9.6897,-11.7729,-16.7599,-11.7385,-13.1627,-13.2624,-10.398,-13.1843,-12.553,-11.9252,-6.3557,-11.0325,-18.0245,-9.948,-13.971,-13.2364,-13.5803,-9.4724,-7.5251,-8.9087,-8.6445,-6.8499,-8.3551,-9.2717,-10.6209,-13.8449,-7.3518,-8.7236,-15.5271,-15.088,-14.8548,-15.0467,-14.5152,-15.8784,-15.6018,-11.9073,-13.252,-14.5845,-13.8036,-9.9999,-13.6693,-12.7553,-13.5643,-11.2425,-14.8599,-9.7425,-14.7027,-11.627,-11.4641,-11.7876,-11.5185,-12.3259,-16.0161,-14.1895,-13.221,-13.1877,-12.29,-16.2727,-16.5325,-12.7482,-16.8693,-17.2665,-16.9255,-17.4344,-17.2711,-15.6887,-16.829,-16.7847,-16.9936,-12.3957,-9.709,-12.2328,-9.7185,-12.6764,-13.7067,-18.7509,-9.9615,-11.2583,-8.5623,-10.864,-3.8066,-6.8922,-8.1173,-12.0948,-5.4536,-11.4034,-8.1144,-7.433,-7.9726,-12.6631,-11.1193,-6.8281,-7.0208,-6.0496,-5.7642,-8.9059,-3.6306,-3.6306,-3.6306,-8.0971,-8.0971,-8.0971,-0.0042,-0.0042,-0.0042,-0.0042,-2.8222,-2.8222,-2.8222,-2.8222,-4.9739,-4.9739,-4.9739,-4.9739,-4.9739,-4.8359,0.0913,0.0913,0.0913,0.0913,0.0913,-8.4979,-10.9278,-7.8399,-8.6597,-5.684,-11.3944,-10.0141,-6.4978,-5.7627,-2.8583,-6.0287,-2.7648,-10.5669,-7.6983,-12.9095,-10.9636
0.04165,0,-13.3224,-12.2763,-13.5941,-15.4674,-14.399,-12.4313,-11.0346,-16.0055,-11.1403,-8.3012,-12.6233,-15.743,-9.6897,-11.7729,-16.7599,-11.7385,-13.1627,-13.2624,-10.398,-13.1843,-12.553,-11.9252,-6.3557,-11.0325,-18.0245,-9.948,-13.971,-13.2364,-13.5803,-9.4724,-7.5251,-8.9087,-8.6445,-6.8499,-8.3551,-9.2717,-10.6209,-13.8449,-7.3518,-8.7236,-15.5271,-15.088,-14.8548,-15.0467,-14.5152,-15.8784,-15.6018,-11.9073,-13.252,-14.5845,-13.8036,-9.9999,-13.6693,-12.7553,-13.5643,-11.2425,-14.8599,-9.7425,-14.7027,-11.627,-11.4641,-11.7876,-11.5185,-12.3259,-16.0161,-14.1895,-13.221,-13.1877,-12.29,-16.2727,-16.5325,-12.7482,-16.8693,-17.2665,-16.9255,-17.4344,-17.2711,-15.6887,-16.829,-16.7847,-16.9936,-12.3957,-9.709,-12.2328,-9.7185,-12.6764,-13.7067,-18.7509,-9.9615,-11.2583,-8.5623,-10.864,-3.8066,-6.8922,-8.1173,-12.0948,-5.4536,-11.4034,-8.1144,-7.433,-7.9726,-12.6631,-11.1193,-6.8281,-7.0208,-6.0496,-5.7642,-8.9059,-3.6306,-3.6306,-3.6306,-8.0971,-8.0971,-8.0971,-0.0042,-0.0042,-0.0042,-0.0042,-2.8222,-2.8222,-2.8222,-2.8222,-4.9739,-4.9739,-4.9739,-4.9739,-4.9739,-4.8359,0.0913,0.0913,0.0913,0.0913,0.0913,-8.4979,-10.9278,-7.8399,-8.6597,-5.684,-11.3944,-10.0141,-6.4978,-5.7627,-2.8583,-6.0287,-2.7648,-10.5669,-7.6983,-12.9095,-10.9636
0.04998,0,-13.3224,-12.2763,-13.5941,-15.4674,-14.399,-12.4313,-11.0346,-16.0055,-11.1403,-8.3012,-12.6233,-15.743,-9.6897,-11.7729,-16.7599,-11.7385,-13.1627,-13.2624,-10.398,-13.1843,-12.553,-11.9252,-6.3557,-11.0325,-18.0245,-9.948,-13.971,-13.2364,-13.5803,-9.4724,-7.5251,-8.9087,-8.6445,-6.8499,-8.3551,-9.2717,-10.6209,-13.8449,-7.3518,-8.7236,-15.5271,-15.088,-14.8548,-15.0467,-14.5152,-15.8784,-15.6018,-11.9073,-13.252,-14.5845,-13.8036,-9.9999,-13.6693,-12.7553,-13.5643,-11.2425,-14.8599,-9.7425,-14.7027,-11.627,-11.4641,-11.7876,-11.5185,-12.3259,-16.0161,-14.1895,-13.221,-13.1877,-12.29,-16.2727,-16.5325,-12.7482,-16.8693,-17.2665,-16.9255,-17.4344,-17.2711,-15.6887,-16.829,-16.7847,-16.9936,-12.3957,-9.709,-12.2328,-9.7185,-12.6764,-13.7067,-18.7509,-9.9615,-11.2583,-8.5623,-10.864,-3.8066,-6.8922,-8.1173,-12.0948,-5.4536,-11.4034,-8.1144,-7.433,-7.9726,-12.6631,-11.1193,-6.8281,-7.0208,-6.0496,-5.7642,-8.9059,-3.6306,-3.6306,-3.6306,-8.0971,-8.0971,-8.0971,-0.0042,-0.0042,-0.0042,-0.0042,-2.8222,-2.8222,-2.8222,-2.8222,-4.9739,-4.9739,-4.9739,-4.9739,-4.9739,-4.8359,0.0913,0.0913,0.0913,0.0913,0.0913,-8.4979,-10.9278,-7.8399,-8.6597,-5.684,-11.3944,-10.0141,-6.4978,-5.7627,-2.8583,-6.0287,-2.7648,-10.5669,-7.6983,-12.9095,-10.9636
0.05831,0,-13.3224,-12.2763,-13.5941,-15.4674,-14.399,-12.4313,-11.0346,-16.0055,-11.1403,-8.3012,-12.6233,-15.743,-9.6897,-11.7729,-16.7599,-11.7385,-13.1627,-13.2624,-10.398,-13.1843,-12.553,-11.9252,-6.3557,-11.0325,-18.0245,-9.948,-13.971,-13.2364,-13.5803,-9.4724,-7.5251,-8.9087,-8.6445,-6.8499,-8.3551,-9.2717,-10.6209,-13.8449,-7.3518,-8.7236,-15.5271,-15.088,-14.8548,-15.0467,-14.5152,-15.8784,-15.6018,-11.9073,-13.252,-14.5845,-13.8036,-9.9999,-13.6693,-12.7553,-13.5643,-11.2425,-14.8599,-9.7425,-14.7027,-11.627,-11.4641,-11.7876,-11.5185,-12.3259,-16.0161,-14.1895,-13.221,-13.1877,-12.29,-16.2727,-16.5325,-12.7482,-16.8693,-17.2665,-16.9255,-17.4344,-17.2711,-15.6887,-16.829,-16.7847,-16.9936,-12.3957,-9.709,-12.2328,-9.7185,-12.6764,-13.7067,-18.7509,-9.9615,-11.2583,-8.5623,-10.864,-3.8066,-6.8922,-8.1173,-12.0948,-5.4536,-11.4034,-8.1144,-7.433,-7.9726,-12.6631,-11.1193,-6.8281,-7.0208,-6.0496,-5.7642,-8.9059,-3.6306,-3.6306,-3.6306,-8.0971,-8.0971,-8.0971,-0.0042,-0.0042,-0.0042,-0.0042,-2.8222,-2.8222,-2.8222,-2.8222,-4.9739,-4.9739,-4.9739,-4.9739,-4.9739,-4.8359,0.0913,0.0913,0.0913,0.0913,0.0913,-8.4979,-10.9278,-7.8399,-8.6597,-5.684,-11.3944,-10.0141,-6.4978,-5.7627,-2.8583,-6.0287,-2.7648,-10.5669,-7.6983,-12.9095,-10.9636
0.06664,0,-13.3224,-12.2763,-13.5941,-15.4674,-14.399,-12.4313,-11.0346,-16.0055,-11.1403,-8.3012,-12.6233,-15.743,-9.6897,-11.7729,-16.7599,-11.7385,-13.1627,-13.2624,-10.398,-13.1843,-12.553,-11.9252,-6.3557,-11.0325,-18.0245,-9.948,-13.971,-13.2364,-13.5803,-9.4724,-7.5251,-8.9087,-8.6445,-6.8499,-8.3551,-9.2717,-10.6209,-13.8449,-7.3518,-8.7236,-15.5271,-15.088,-14.8548,-15.0467,-14.5152,-15.8784,-15.6018,-11.9073,-13.252,-14.5845,-13.8036,-9.9999,-13.6693,-12.7553,-13.5643,-11.2425,-14.8599,-9.7425,-14.7027,-11.627,-11.4641,-11.7876,-11.5185,-12.3259,-16.0161,-14.1895,-13.221,-13.1877,-12.29,-16.2727,-16.5325,-12.7482,-16.8693,-17.2665,-16.9255,-17.4344,-17.2711,-15.6887,-16.829,-16.7847,-16.9936,-12.3957,-9.709,-12.2328,-9.7185,-12.6764,-13.7067,-18.7509,-9.9615,-11.2583,-8.5623,-10.864,-3.8066,-6.8922,-8.1173,-12.0948,-5.4536,-11.4034,-8.1144,-7.433,-7.9726,-12.6631,-11.1193,-6.8281,-7.0208,-6.0496,-5.7642,-8.9059,-3.6306,-3.6306,-3.6306,-8.0971,-8.0971,-8.0971,-0.0042,-0.0042,-0.0042,-0.0042,-2.8222,-2.8222,-2.8222,-2.8222,-4.9739,-4.9739,-4.9739,-4.9739,-4.9739,-4.8359,0.0913,0.0913,0.0913,0.0913,0.0913,-8.4979,-10.9278,-7.8399,-8.6597,-5.684,-11.3944,-10.0141,-6.4978,-5.7627,-2.8583,-6.0287,-2.7648,-10.5669,-7.6983,-12.9095,-10.9636
0.07497,0,-13.3224,-12.2763,-13.5941,-15.4674,-14.399,-12.4313,-11.0346,-16.0055,-11.1403,-8.3012,-12.6233,-15.743,-9.6897,-11.7729,-16.7599,-11.7385,-13.1627,-13.2624,-10.398,-13.1843,-12.553,-11.9252,-6.3557,-11.0325,-18.0245,-9.948,-13.971,-13.2364,-13.5803,-9.4724,-7.5251,-8.9087,-8.6445,-6.8499,-8.3551,-9.2717,-10.6209,-13.8449,-7.3518,-8.7236,-15.5271,-15.088,-14.8548,-15.0467,-14.5152,-15.8784,-15.6018,-11.9073,-13.252,-14.5845,-13.8036,-9.9999,-13.6693,-12.7553,-13.5643,-11.2425,-14.8599,-9.7425,-14.7027,-11.627,-11.4641,-11.7876,-11.5185,-12.3259,-16.0161,-14.1895,-13.221,-13.1877,-12.29,-16.2727,-16.5325,-12.7482,-16.8693,-17.2665,-16.9255,-17.4344,-17.2711,-15.6887,-16.829,-16.7847,-16.9936,-12.3957,-9.709,-12.2328,-9.7185,-12.6764,-13.7067,-18.7509,-9.9615,-11.2583,-8.5623,-10.864,-3.8066,-6.8922,-8.1173,-12.0948,-5.4536,-11.4034,-8.1144,-7.433,-7.9726,-12.6631,-11.1193,-6.8281,-7.0208,-6.0496,-5.7642,-8.9059,-3.6306,-3.6306,-3.6306,-8.0971,-8.0971,-8.0971,-0.0042,-0.0042,-0.0042,-0.0042,-2.8222,-2.8222,-2.8222,-2.8222,-4.9739,-4.9739,-4.9739,-4.9739,-4.9739,-4.8359,0.0913,0.0913,0.0913,0.0913,0.0913,-8.4979,-10.9278,-7.8399,-8.6597,-5.684,-11.3944,-10.0141,-6.4978,-5.7627,-2.8583,-6.0287,-2.7648,-10.5669,-7.6983,-12.9095,-10.9636
