Bus Num,Bus Name,Sub ID,Sub Name,Sub Num
41452,OSTKNI12,Found on WECC map,Knight,52000131
41451,OSTKNI11,Found on WECC map,Knight,52000131
40700,GRIMAL21,3337414038,Grizzly Power,337414038
45197,MERIDINP,3337418010,Meridian,337418010
45096,ALVDIX11,3337411001,Dixonville,337411001
40708,GRIMAL25,3337414038,Grizzly Power,337414038
41046,MALSUM12,3337424493,Summer Lake,337424493
45040,CAPPON11,3337408690,Captain Jack,337408690
45095,DIXONVLE,3337411001,Dixonville,337411001
45041,CAPPON12,3337408690,Captain Jack,337408690
41043,SUMMER L,3337424493,Summer Lake,337424493
627202,TOWNSEND 2,,,
627201,TOWNSEND 1,,,
45199,DIXMER11,3337418010,Meridian,337418010
45042,CAPPON13,3337408690,Captain Jack,337408690
45043,CAPPON14,3337408690,Captain Jack,337408690
41056,PONSUM14,3337424717,Tacoma,337424717
41054,PONSUM13,3337424493,Summer Lake,337424493
45262,KFALLS,3341136828,COB Energy Facility,341136828
40714,ALVMAR11,3337406231,Alvey,337406231
627204,GARTOW12,,,
627206,GARTOW22,,,
45044,CAPPON15,3337408690,Captain Jack,337408690
45046,CAPPON16,3337408690,Captain Jack,337408690
41052,PONSUM12,3337424493,Summer Lake,337424493
41048,PONSUM11,3337421061,Ponderosa,337421061
45035,CAPTJACK,3337408690,Captain Jack,337408690
40706,GRIMAL24,3337417425,Malin,337417425
40704,GRIMAL23,3337417425,Malin,337417425
41044,MALSUM11,3337424493,Summer Lake,337424493
40688,MALIN R3,3337417425,Malin,337417425
40684,MALIN R1,3337417425,Malin,337417425
40687,MALIN,3337417425,Malin,337417425
627205,GARTOW21,,,
627203,GARTOW11,,,
40453,GAR2EAST,3337413294,Garrison,337413294
40451,GAR1EAST,3337413294,Garrison,337413294
40719,ASHMAR23,3337406571,Ashe,337406571
40051,ALVEY,3337406231,Alvey,337406231
40690,MALROU11,3337417425,Malin,337417425
40718,ASHMAR22,3337406571,Ashe,337406571
40696,MALROU21,3337417425,Malin,337417425
40591,GRIJOH12,3337414038,Grizzly Power,337414038
