Sub Num,Sub Name,Sub ID,Latitude,Longitude,Nominal kV(max)
2000002,Sub2000002,Sub2000002,,,230
3477941,Lion Mountain,3477941,48.1,-114.25,230
25000019,Greenbry,25000019,44.38,-123.11,500
25000149,Springville,25000149,45.81,-122.72,230
25000910,Silicon,25000910,47.21,-119.23,230
25000916,DrJohnson,25000916,42.97,-123.27,115
25000918,Parish Gap,25000918,44.73,-122.83,230
25052026,Port LeBrun,25052026,45.45,-122.29,13.8
25052714,Copper River,25052714,32.78,-109.27,345
30004005,Linneman,30004005,45.5,-122.42,230
30004006,Blue Lake,30004006,45.59,-122.49,230
30004008,Monitor,30004008,45.18,-122.67,230
30004092,Mattawa,30004092,46.79,-119.96,230
30004101,Hew,30004101,46.52,-119.54,230
30004107,Marcola,30004107,44.19,-122.84,230
30004129,Baldi,30004129,47.21,-121.69,230
30004132,Klahanie,30004132,47.57,-122.12,230
30004170,Tarzana,30004170,34.1,-118.46,500
30004262,Idaho-Nevada,30004262,42,-115.43,345
30004265,Peacock,30004265,35.17,-113.65,345
30004298,Horseranch,30004298,48,-122.11,230
30004351,Terrell Creek,30004351,48.83,-122.53,13.8
30004496,Novelty,30004496,47.69,-121.85,230
30004598,Simpson,30004598,47.29,-122.33,13.8
30004761,Headwork,30004761,47.69,-119.77,13.8
30004852,Clearwater,30004852,46.4,-116.97,12
30004888,I.E. Paper,30004888,47.65,-117.26,13.8
30050288,Toluca,30050288,34.23,-118.45,500
32000215,Coid,32000215,44.02,-121.21,69
32000241,Farmrirr,32000241,45.65,-121.53,69
32000255,Sulphur,32000255,46.33,-119.94,230
32000395,Vas,32000395,49.33,-119.4,500
32008816,Jones Canyon,32008816,45.65,-120.14,230
32008859,Ft. Sage,32008859,40.76,-120.67,345
32008880,Lakeside,32008880,47.92,-114.27,230
32008902,Sierra,32008902,46.94,-123.87,115
32008906,Spring Creek,32008906,45.86,-120.5,230
32008920,Wind Ridge,32008920,47.02,-120.19,230
32008950,Rock Creek,32008950,45.91,-120.61,500
32008953,Three Pk,32008953,37.96,-113.13,345
32008989,Ranch Vista,32008989,34.11,-117.56,500
52000001,Macho Springs,20 mi. NE Deming,32.44,-107.56,345
52000004,Cedar Mountain,Found Mountain,35.34,-111.92,500
52000046,Dugas,Found road,34.38,-112.01,500
52000083,Suncrest,Sub52000083,32.93,-116.52,500
52000084,C94,No idea,32.84,-116.07,500
52000095,Top of the World,Found Wind Farm,42.92,-105.77,0.6
52000096,Schnebly,Found Coulee,46.94,-119.99,230
52000097,Poison Spring,Found Road,46.95,-120.23,230
52000098,Linden,No idea,45.75,-120.61,230
52000116,Juniper,No idea,45.9,-120.27,230
52000118,Central Ferry,Found Sub,46.6,-117.81,500
52000119,Phalen Gulcn,Found Sub,46.57,-117.83,230
52000120,Dodge Junction,Found Junction Town,46.52,-117.82,230
52000131,Knight,Found on WECC map,46.1,-120.86,500
52000141,Evergreen,No idea,44.71,-122.65,13.8
52000149,Enid Rd.,Found Rd.,44.12,-123.17,13.8
52000171,Norpac,No idea,46.16,-123.01,230
52000181,SAC,No idea,50.27,-122.28,360
52000263,Clover,No idea,39.69,-112.06,345
52000264,Limber,No idea,40.2,-112.13,345
52000269,Utah/Nevada,No idea,37.26,-114.07,345
52000373,Heartland,No idea,54.06,-113.37,500
64000007,Miller,64000007,45.89,-120.46,230
68050059,Willow,68050059,32.3,-109.49,345
337405781,Ninetieth South,3337405781,40.59,-111.92,345
337405809,Aberdeen,3337405809,46.98,-123.85,230
337405851,Adair,3337405851,44.7,-123.22,115
337405870,Addy,3337405870,48.33,-117.83,230
337405875,Adelaide,3337405875,42.69,-113.67,345
337405876,Adelaide Tap,3337405876,42.71,-113.67,345
337405877,Adelanto,3337405877,34.55,-117.44,500
337405901,AES Alamitos,3337405901,33.77,-118.1,20
337405912,AES Huntington Beach,3337405912,33.65,-117.98,13.8
337405921,AES Redondo Beach,3337405921,33.85,-118.39,20
337405935,Afton Generating Station,3337405935,32.11,-106.85,345
337406029,Albany,3337406029,44.62,-123.13,230
337406039,Albeni Falls,3337406039,48.18,-117,13.8
337406065,Alcoa,3337406065,45.65,-122.73,230
337406074,Alder,3337406074,46.8,-122.31,13.8
337406092,Alfalfa,3337406092,46.3,-120.22,230
337406167,Allston,3337406167,46.11,-123.03,500
337406231,Alvey,3337406231,44,-123.01,500
337406252,American Creek Capacitor Station,3337406252,49.44,-121.45,500
337406293,Amrad,3337406293,32.52,-106.14,345
337406299,Anaconda Mill Creek,3337406299,46.11,-112.88,230
337406372,Antelope Valley Solar Ranch,3337406372,34.69,-118.3,500
337406388,Apache,3337406388,32.06,-109.89,20
337406394,Apex (MIR),3337406394,36.42,-114.96,500
337406462,Arden,3337406462,36.01,-115.21,21
337406484,Rattlesnake Road Wind Project,3337406484,45.7,-120.25,0.6
337406487,Arlington Valley,3337406487,33.34,-112.89,500
337406525,Arroyo,3337406525,32.33,-106.71,345
337406532,Artesia,3337406532,32.85,-104.39,345
337406571,Ashe,3337406571,46.48,-119.33,500
337406603,Ashton Creek,3337406603,50.55,-118.96,500
337406696,Ault,3337406696,40.6,-104.8,345
337406763,B-A,3337406763,35.35,-106.48,345
337406992,Battle River,3337406992,52.47,-112.14,21
337407067,Beacon (Spokane),3337407067,47.68,-117.34,230
337407116,Beaver,3337407116,46.16,-123.14,230
337407118,Beaver,3337407118,45.28,-123.82,500
337407126,Beaver Creek,3337407126,40.25,-103.6,345
337407193,Bell,3337407193,47.75,-117.37,500
337407237,Bellingham Division,3337407237,48.8,-122.42,230
337407277,Ben Lomond,3337407277,41.34,-112.05,345
337407282,Bend,3337407282,44.07,-121.32,4.2
337407283,Benewah,3337407283,47.35,-117.03,230
337407288,Hot Springs Windfarm,3337407288,43.13,-115.69,18
337407300,Benton,3337407300,46.46,-119.27,230
337407368,Bethel (PGE),3337407368,44.97,-122.91,230
337407401,Bicknell,3337407401,31.92,-111.06,345
337407419,Big Cliff,3337407419,44.75,-122.28,14.4
337407423,Big Creek 1,3337407423,37.2,-119.24,13.8
337407430,Big Eddy,3337407430,45.61,-121.11,500
337407440,Big Horn Wind (PPM),3337407440,45.83,-120.74,230
337407509,Biomass One L/P,3337407509,42.41,-122.76,13.8
337407604,Blackwater,3337407604,34.3,-103.17,345
337407718,Blythe 2,3337407718,33.61,-114.68,16
337407727,Boardman (PGE),3337407727,45.69,-119.81,500
337407771,Bonanza,3337407771,40.09,-109.29,345
337407786,Bonneville,3337407786,45.64,-121.94,230
337407809,Borah,3337407809,42.7,-113.24,345
337407819,Bordertown,3337407819,39.66,-120,345
337407825,Bothell,3337407825,47.86,-122.18,230
337407839,Boulder Park,3337407839,47.7,-117.15,230
337407846,Boundary,3337407846,48.98,-117.36,230
337407863,Bowie Power Station,3337407863,32.36,-109.49,345
337407876,Bowmont,3337407876,43.44,-116.56,500
337407878,Box Canyon (PEND),3337407878,48.78,-117.42,13.8
337407954,Brawley - SCE,3337407954,32.97,-115.53,13.8
337407956,Brazeau Hydro,3337407956,52.91,-115.38,13.8
337407989,Bridge River Terminal,3337407989,50.72,-122.23,360
337408132,Browning,3337408132,33.36,-111.6,500
337408135,Brownlee,3337408135,44.84,-116.9,13.8
337408209,Buckley,3337408209,45.23,-120.9,500
337408315,Burns,3337408315,43.68,-118.77,500
337408422,Cabinet Gorge,3337408422,48.09,-116.06,230
337408462,Calapooya,3337408462,44.38,-123.01,230
337408489,Caliente,3337408489,31.83,-106.25,345
337408507,Calpeak Vaca Dixon No. 1,3337408507,38.4,-121.92,500
337408525,Camas,3337408525,45.58,-122.38,69
337408558,Camp Williams,3337408558,40.47,-111.95,345
337408606,Canby 2,3337408606,41.44,-120.88,230
337408670,Cape Cockburn Cable Terminal,3337408670,49.67,-124.18,500
337408690,Captain Jack,3337408690,42.08,-121.39,500
337408757,Carlton,3337408757,45.28,-123.15,230
337408764,Carmen Smith,3337408764,44.34,-122,11.5
337408830,Carver,3337408830,45.4,-122.53,230
337408843,Cascade,3337408843,37.53,-107.79,230
337408867,Castaic,3337408867,34.59,-118.66,18
337408945,Cedar Falls (SCL),3337408945,47.43,-121.78,6.6
337408977,Celilo Dc Converter Station,3337408977,45.6,-121.11,500
337409045,Centralia,3337409045,46.73,-122.95,69
337409051,Centralia Switching Station,3337409051,46.73,-122.84,500
337409113,Chandler,3337409113,46.21,-119.77,115
337409130,Chapmans Capacitor Station,3337409130,49.61,-121.37,500
337409143,Charles Lenzie,3337409143,36.38,-114.92,500
337409200,Cheekye,3337409200,49.8,-123.1,500
337409201,Chehalis,3337409201,46.62,-122.92,230
337409204,Chelan,3337409204,47.81,-119.99,11
337409209,Chemawa,3337409209,45.01,-123,230
337409220,Chenoweth,3337409220,45.64,-121.2,230
337409223,Cherokee (PSCO),3337409223,39.81,-104.97,22
337409315,Chief Joseph,3337409315,47.99,-119.65,500
337409332,Chiloquin,3337409332,42.59,-121.84,230
337409370,Cholla,3337409370,34.94,-110.3,500
337409381,Christopher,3337409381,47.29,-122.24,230
337409518,Clark (NEVP),3337409518,36.09,-115.05,13.8
