Bus Number,Bus Name,Sub ID,Sub Name
40001,A9,3337406571,Ashe
40002,A6,3337406571,Ashe
40003,A8,3337406571,Ashe
40009,ABERDEEN,3337405809,Aberdeen
40011,ABERDN 2,3337405809,Aberdeen
40019,ADDY S,3337405870,Addy
40021,ADDY N,3337405870,Addy
40027,ALBANY,3337406029,Albany
40033,ALCOA,3337406065,Alcoa
40039,ALFALFA,3337406092,Alfalfa
40043,ALLSTN E,3337406167,Allston
40044,ALLSTN W,3337406167,Allston
40045,ALLSTON,3337406167,Allston
40049,ALVEY,3337406231,Alvey
40051,ALVEY,3337406231,Alvey
40058,WNP1,3337406571,Ashe
40059,ASHE,3337406571,Ashe
40060,ASHE F,3337406571,Ashe
40061,ASHE,3337406571,Ashe
40062,ASHE R1,3337406571,Ashe
40063,CGS,3337406571,Ashe
40064,TRS,3337406571,Ashe
40065,ASHE TAP,3337406571,Ashe
40086,BELL S1,3337407193,Bell
40088,BELL S2,3337407193,Bell
40089,DAYMTSPK,,
40090,BELL S3,3337407193,Bell
40091,BELL BPA,3337407193,Bell
40092,BELL S4,3337407193,Bell
40094,ADDBEL11,3353098003,Tap
40095,BELLNGHM,3337407237,Bellingham Division
40096,BELL SC,3337407193,Bell
40099,BENTON,3337407300,Benton
40111,BIG EDDY,3337407430,Big Eddy
40121,BOARD T1,3337407727,Boardman (PGE)
40123,BOARD T2,3337407727,Boardman (PGE)
40129,BOARDMAN,3337407727,Boardman (PGE)
40141,NBONVL E,3337407786,Bonneville
40142,NBONVL W,3337407786,Bonneville
40144,ALFNBO11,,
40145,BOUNDRYE,3337407846,Boundary
40146,BOUNDRYW,3337407846,Boundary
40148,ADDBOU11,3337428144,TAP372
40155,BUCKLEY,3337408209,Buckley
40169,CANBY,3337408606,Canby 2
40171,CANBYTAP,3337408606,Canby 2
40181,CARLTON,3337408757,Carlton
40185,CASCADTP,3337430120,Newberg
40207,CHEHALIS,3337409201,Chehalis
40213,CHEMAWA,3337409209,Chemawa
40219,CHENOWTH,3337409220,Chenoweth
40223,CHIEF J3,3337409315,Chief Joseph
40225,CHIEF J4,3337409315,Chief Joseph
40230,CHIEF J1,3337409315,Chief Joseph
40232,CHIEF J2,3337409315,Chief Joseph
40233,CHIEF JO,3337409315,Chief Joseph
40243,CLATSOP,3337409539,Clatsop
40248,COL FALL E,3337409874,Columbia Falls
40249,COL FALL W,3337409874,Columbia Falls
40261,COLUMBIA N,3337409867,Columbia
40262,COLUMBIA S,,
40267,CONKELLY,3337409954,Con Kelley
40280,COULE PG,3337413746,Grand Coulee
40285,COULEE,3337413746,Grand Coulee
40287,COULEE,3337413746,Grand Coulee
40288,COULE R1,3337413746,Grand Coulee
40291,COULEE19,3337413746,Grand Coulee
40293,COULEE20,3337413746,Grand Coulee
40295,COULEE21,3337413746,Grand Coulee
40296,COULEE22,3337413746,Grand Coulee
40297,COULEE23,3337413746,Grand Coulee
40298,COULEE24,3337413746,Grand Coulee
40302,COVINGT4,3337410205,Covington
40303,COVINGTW,3337410205,Covington
40304,COVINGTE,3337410205,Covington
40306,COVINGT5,3337410205,Covington
40307,COWFALLS,3337410221,Cowlitz Falls
40319,CUSICK,3337410469,Cusick
40321,CUSTER W,3337410472,Custer
40322,CUSTER E,3337410472,Custer
40323,CUSTER W,3337410472,Custer
40345,DETROIT,3337410875,Detroit
40348,DIXON MV,3342617491,Dixon
40355,DRISCOLL,3337411162,Driscoll
40357,DRISCOLT,3337411162,Driscoll
40369,DWORSHAK,3337411304,Dworshak
40373,E OMAK,3337411468,East Omak
40375,E SPRING,3337423974,Springfield
40381,ECHOLAKE,3337411565,Echo Lake
40403,FAIRMONT,3337412085,Fairmount
40409,FAIRVIEW,3337412090,Fairview
40410,FAIRVEW2,3337412090,Fairview
40421,FLATHEAD,3337412334,Flathead
40443,FRANKLIN,3337412618,Franklin
40451,GAR1EAST,3337413294,Garrison
40453,GAR2EAST,3337413294,Garrison
40457,GARRISON,3337413294,Garrison
40458,ANA BPA,3337406299,Anaconda Mill Creek
40459,GARRISON,3337413294,Garrison
40487,GREENVLT,3337413928,Green Valley
40488,GRIZZ R3,3337414038,Grizzly Power
40489,GRIZZLY,3337414038,Grizzly Power
40490,BUCGRI11,25000019,Greenbry
40499,HANFORD,3337414242,Hanford
40500,COUHAN11,3337413746,Grand Coulee
40505,HAPPY V,3337414273,Happy Valley
40511,HARVALUM,3337414395,Harvalum
40513,HASKILL,3337414409,Haskill
40519,HATWAI,3337414433,Hatwai
40521,HATWAI,3337414433,Hatwai
40531,HEW 2,30004101,Hew
40533,HEW 2 TP,30004101,Hew
40537,HIL TOP,3337414741,Hilltop
40549,HORSE HV,3337414923,Horse Heaven
40551,HOT SPR,3337414947,Hot Springs
40553,HOT SPR,3337414947,Hot Springs
40557,HUNGRY H,3337415035,Hungry Horse
40573,INTALCO,3337415252,Intalco
40584,JOHN DAY,3337415584,John Day Ph
40585,JOHN DAY,3337415584,John Day Ph
40588,GRIJOH11,3337414038,Grizzly Power
40591,GRIJOH12,3337414038,Grizzly Power
40592,GRIJOH21,3337415779,Keeler
40593,GRIJOH22,3337415779,Keeler
40598,KEELER E,,
40599,KEELER W,3337415779,Keeler
40601,KEELER,3337415779,Keeler
40613,KITSAP,3337416058,Kitsap
40615,KITSAP 2,3337416058,Kitsap
40621,LAGRANDE,3352749979,LaGrande
40624,LANCASTR,3337416431,Lancaster
40626,BELLAN11,3337407193,Bell
40627,LANE,3337416446,Lane
40629,LANE,3337416446,Lane
40635,LAPINE,3337416186,La Pine
40651,LEXINGTN,3337416735,Lexington
40657,LIBBY,3337416752,Libby - USCEPD
40664,CEN FERY,Found Sub,Central Ferry
40665,LIT GOOS,3337416875,Little Goose
40666,CEN FERY,Found Sub,Central Ferry
40671,LONGVIEW,3337417029,Longview
40672,LONGVANX,3337417029,Longview
40673,LONGVW T,3337417029,Longview
40679,LOW GRAN,3337417159,Lower Granite
40683,LOW MON,3337417166,Lower Monumental
40684,MALIN R1,3337417425,Malin
40685,MABTON,3337417302,Mabton
40686,SPRINGCK,32008906,Spring Creek
40687,MALIN,3337417425,Malin
40688,MALIN R3,3337417425,Malin
40689,MAPLE V3,3337417523,Maple Valley
40691,MAPLE VL,3337417523,Maple Valley
40692,MAPLEV12,3337417523,Maple Valley
40693,MAPLE VL,3337417523,Maple Valley
40699,MARION,3337417576,Marion
40700,GRIMAL21,3337414038,Grizzly Power
40701,MARTINTP,3337417639,Martin Creek
40702,GRIMAL22,3337414038,Grizzly Power
40704,GRIMAL23,3337417425,Malin
40705,MARTN CR,3337417639,Martin Creek
40706,GRIMAL24,3337417425,Malin
40708,GRIMAL25,3337414038,Grizzly Power
40709,MAUPIN,3337417718,Maupin
40710,GRIMAL26,3337414038,Grizzly Power
40711,ECHMAP11,3337417861,Mcloughlin
40712,ECHMAP12,3337417523,Maple Valley
40714,ALVMAR11,3337406231,Alvey
40716,ASHMAR21,3337406571,Ashe
40718,ASHMAR22,3337406571,Ashe
40719,ASHMAR23,3337406571,Ashe
40720,BUCMAR11,3337408209,Buckley
40721,MCNARY,3337417877,McNary
40722,JOHMAR11,3337415584,John Day Ph
40723,MCNARY,3337417877,McNary
40747,MONROE,3337418498,Monroe
40749,MONROE,3337418498,Monroe
40750,CHIMON11,3337409315,Chief Joseph
40751,MONROE T,3337418498,Monroe
40752,CUSMON11,3337410472,Custer
40754,CUSMON21,3337410472,Custer
40767,MURRAY,3337418877,Murray
40774,NAPAVINE,3353097789,Napavine
40787,NOXONBPA,3337419718,Noxon Rapids
40788,LANNOX11,3337416431,Lancaster
40792,OLY W,3337419946,Olympia
40793,OLYMPIA,3337419946,Olympia
40794,OLY E,3337419946,Olympia
40795,OLYMPIA,3337419946,Olympia
40796,LIBNOX11,3337419718,Noxon Rapids
40797,OLYMPIA,3337419946,Olympia
40798,COUOLY11,3337419946,Olympia
40800,COUOLY12,3337419946,Olympia
40802,COUOLY13,3337419946,Olympia
40804,COUOLY14,3337419946,Olympia
40809,OSTRNDER,3337420092,Ostrander
40810,OSTRNDER,3337420092,Ostrander
