Bus Number,Bus Name,Sub ID,Sub Name
41064,DWOTAF11,3337424728,Taft
50208,CUSING21,3337410472,Custer
50206,CUSING11,3337410472,Custer
41095,TROUTDAL,3337429325,Troutdale
47745,CENTR P2,3337409051,Centralia Switching Station
47741,CENTR P1,3337409051,Centralia Switching Station
47731,BHP,3337409051,Centralia Switching Station
47638,HERMCALP,3337414608,Hermiston Power Project
45262,KFALLS,3341136828,COB Energy Facility
45199,DIXMER11,3337418010,Meridian
45197,MERIDINP,3337418010,Meridian
45096,ALVDIX11,3337411001,Dixonville
45095,DIXONVLE,3337411001,Dixonville
45046,CAPPON16,3337408690,Captain Jack
45044,CAPPON15,3337408690,Captain Jack
45043,CAPPON14,3337408690,Captain Jack
45042,CAPPON13,3337408690,Captain Jack
45041,CAPPON12,3337408690,Captain Jack
45040,CAPPON11,3337408690,Captain Jack
45035,CAPTJACK,3337408690,Captain Jack
45030,BURSUM11,3337408315,Burns
45029,BURNS,3337408315,Burns
44284,LONGHORN,,
44257,LMN PH1,3337417166,Lower Monumental
44237,LWG PH1,3337417159,Lower Granite
44217,LGS PH1,3337416876,Little Goose Ph
44167,CHJ PH6,3337409315,Chief Joseph
44166,CHJ PH5,3337409315,Chief Joseph
44089,JDA PH4,3337415584,John Day Ph
44088,JDA PH3,3337415584,John Day Ph
44087,JDA PH2,3337415584,John Day Ph
44086,JDA PH1,3337415584,John Day Ph
43485,ROUND BU,3337422305,Round Butte
43123,COYOTE,3337410234,Coyote Springs
43049,BOARD F,3337407727,Boardman (PGE)
41744,COULEE24,3337413746,Grand Coulee
41743,COULEE23,3337413746,Grand Coulee
41742,COULEE22,3337413746,Grand Coulee
41741,COULEE21,3337413746,Grand Coulee
41740,COULEE20,3337413746,Grand Coulee
41739,COULEE19,3337413746,Grand Coulee
41452,OSTKNI12,Found on WECC map,Knight
41451,OSTKNI11,Found on WECC map,Knight
41450,KNIGHT,Found on WECC map,Knight
41401,ROCK CK,32008950,Rock Creek
41312,CELILO2,3337408977,Celilo Dc Converter Station
41311,CELILO1,3337408977,Celilo Dc Converter Station
41138,WAUTOMA,3337432067,Wautoma
41113,VANTAGE,3337431517,Vantage
41060,RAVTAC12,3337424728,Taft
41074,GARTAF22,3337407118,Beaver
41072,GARTAF21,3337413294,Garrison
41070,GARTAF12,3337413294,Garrison
40997,CHISNO31,,
41062,BELTAF11,3337411304,Dworshak
41056,PONSUM14,3337424717,Tacoma
41048,PONSUM11,3337421061,Ponderosa
41007,SNOKING,3337423567,Sno-king
40998,CHISNO41,,
41057,TAFT,3337424728,Taft
40996,BUCSLA11,3337423568,Snohomish
40994,SNOHOMS4,3337423568,Snohomish
40993,SNOHOMS3,3337423568,Snohomish
40989,SLATT,3337423497,Slatt
40978,RAVSCH41,3337423081,Selle
41058,RAVTAC11,3337424717,Tacoma
40976,RAVSCH31,3337423081,Selle
40974,RAVSCH12,3337422960,Schultz
41066,DWOTAF12,3337413294,Garrison
40973,SICKLER,3337423346,Sickler
40972,RAVSCH11,3337421613,Raver
41054,PONSUM13,3337424493,Summer Lake
40970,ECHSCH13,3337422960,Schultz
40966,ECHSCH12,3337411565,Echo Lake
40964,ECHSCH11,3337411565,Echo Lake
40962,COUSCH22,3337422960,Schultz
40961,COUSCH21,3337422960,Schultz
40960,COUSCH12,3337422960,Schultz
40958,COUSCH11,3337422960,Schultz
40957,SCHULTZ,3337422960,Schultz
40949,SATSOP,3337422900,Satsop
40941,SANTIAM,3337422861,Santiam
40917,SACJWA T,3337422524,Sacajawea
40913,SACJAWEA,3337422524,Sacajawea
40904,MCNROS12,3337422285,J.D. Ross
40902,MCNROS11,3337417877,McNary
40901,ROSS,3337422285,J.D. Ross
40892,MAPROC11,3337422187,Rocky Reach
40891,ROCKY RH,3337422187,Rocky Reach
40869,RAVER,3337421613,Raver
40837,PONDROSA,3337421061,Ponderosa
40834,PONDROSB,3337421061,Ponderosa
40827,PEARL,3337420488,Pearl
40821,PAUL,3337420435,Paul
40809,OSTRNDER,3337420092,Ostrander
40804,COUOLY14,3337419946,Olympia
40802,COUOLY13,3337419946,Olympia
40800,COUOLY12,3337419946,Olympia
40798,COUOLY11,3337419946,Olympia
40797,OLYMPIA,3337419946,Olympia
40795,OLYMPIA,3337419946,Olympia
40774,NAPAVINE,3353097789,Napavine
40754,CUSMON21,3337410472,Custer
40752,CUSMON11,3337410472,Custer
40750,CHIMON11,3337409315,Chief Joseph
40749,MONROE,3337418498,Monroe
40723,MCNARY,3337417877,McNary
40722,JOHMAR11,3337415584,John Day Ph
40721,MCNARY,3337417877,McNary
40720,BUCMAR11,3337408209,Buckley
40719,ASHMAR23,3337406571,Ashe
40718,ASHMAR22,3337406571,Ashe
40716,ASHMAR21,3337406571,Ashe
40714,ALVMAR11,3337406231,Alvey
40712,ECHMAP12,3337417523,Maple Valley
40711,ECHMAP11,3337417861,Mcloughlin
40710,GRIMAL26,3337414038,Grizzly Power
40708,GRIMAL25,3337414038,Grizzly Power
40706,GRIMAL24,3337417425,Malin
40704,GRIMAL23,3337417425,Malin
40702,GRIMAL22,3337414038,Grizzly Power
40700,GRIMAL21,3337414038,Grizzly Power
40699,MARION,3337417576,Marion
40693,MAPLE VL,3337417523,Maple Valley
40691,MAPLE VL,3337417523,Maple Valley
41043,SUMMER L,3337424493,Summer Lake
40688,MALIN R3,3337417425,Malin
40687,MALIN,3337417425,Malin
40684,MALIN R1,3337417425,Malin
40683,LOW MON,3337417166,Lower Monumental
40679,LOW GRAN,3337417159,Lower Granite
40666,CEN FERY,Found Sub,Central Ferry
40665,LIT GOOS,3337416875,Little Goose
40629,LANE,3337416446,Lane
41046,MALSUM12,3337424493,Summer Lake
40601,KEELER,3337415779,Keeler
40593,GRIJOH22,3337415779,Keeler
40592,GRIJOH21,3337415779,Keeler
40591,GRIJOH12,3337414038,Grizzly Power
40588,GRIJOH11,3337414038,Grizzly Power
40585,JOHN DAY,3337415584,John Day Ph
41044,MALSUM11,3337424493,Summer Lake
40553,HOT SPR,3337414947,Hot Springs
40521,HATWAI,3337414433,Hatwai
40500,COUHAN11,3337413746,Grand Coulee
40499,HANFORD,3337414242,Hanford
41051,TACOMA,3337424717,Tacoma
40490,BUCGRI11,25000019,Greenbry
40489,GRIZZLY,3337414038,Grizzly Power
40488,GRIZZ R3,3337414038,Grizzly Power
40459,GARRISON,3337413294,Garrison
40453,GAR2EAST,3337413294,Garrison
40451,GAR1EAST,3337413294,Garrison
40381,ECHOLAKE,3337411565,Echo Lake
40369,DWORSHAK,3337411304,Dworshak
40323,CUSTER W,3337410472,Custer
40306,COVINGT5,3337410205,Covington
40302,COVINGT4,3337410205,Covington
40288,COULE R1,3337413746,Grand Coulee
40287,COULEE,3337413746,Grand Coulee
40285,COULEE,3337413746,Grand Coulee
40233,CHIEF JO,3337409315,Chief Joseph
40225,CHIEF J4,3337409315,Chief Joseph
40223,CHIEF J3,3337409315,Chief Joseph
40155,BUCKLEY,3337408209,Buckley
40111,BIG EDDY,3337407430,Big Eddy
40096,BELL SC,3337407193,Bell
41052,PONSUM12,3337424493,Summer Lake
40091,BELL BPA,3337407193,Bell
40062,ASHE R1,3337406571,Ashe
40061,ASHE,3337406571,Ashe
40051,ALVEY,3337406231,Alvey
40045,ALLSTON,3337406167,Allston
41068,GARTAF11,3337424728,Taft
41001,SNOK TAP,3337423567,Sno-king
