Sub Num,Sub Name,Sub ID,Area Name,Zone Name,# of Buses,Nominal kV(max),Latitude,Longitude
2000002,Andrew York,Sub2000002,NORTHWEST,Central Washington,1,230,,
3477941,Lion Mountain,3477941,NORTHWEST,Western Montana,1,230,48.1,-114.25
25000019,Greenbry,25000019,NORTHWEST,Lower Columbia Basin,1,500,44.38,-123.11
25000149,Springville,25000149,NORTHWEST,Portland General - BES NODE,1,230,45.81,-122.72
25000910,Silicon,25000910,NORTHWEST,"Grant County, WA",2,230,47.21,-119.23
25000918,Parish Gap,25000918,NORTHWEST,PAC:WLMT,1,230,44.73,-122.83
30004005,Linneman,30004005,NORTHWEST,Portland General - BES S/S,1,230,45.5,-122.42
30004006,Blue Lake,30004006,NORTHWEST,Portland General - BES S/S,1,230,45.59,-122.49
30004008,Monitor,30004008,NORTHWEST,Portland General - BES S/S,1,230,45.18,-122.67
30004092,Mattawa,30004092,NORTHWEST,"Grant County, WA",1,230,46.79,-119.96
30004101,Hew,30004101,NORTHWEST,Lower Columbia Basin,2,230,46.52,-119.54
30004107,Marcola,30004107,NORTHWEST,Western Oregon,2,230,44.19,-122.84
30004129,Baldi,30004129,NORTHWEST,S.KINGI,1,230,47.21,-121.69
30004132,Klahanie,30004132,NORTHWEST,N.KING,2,230,47.57,-122.12
30004298,Horseranch,30004298,NORTHWEST,N.KING,5,230,48,-122.11
30004496,Novelty,30004496,NORTHWEST,N.KING,2,230,47.69,-121.85
32000255,Sulphur,32000255,NORTHWEST,Lower Columbia Basin,1,230,46.33,-119.94
32008816,Jones Canyon,32008816,NORTHWEST,Lower Columbia Basin,1,230,45.65,-120.14
32008880,Lakeside,32008880,NORTHWEST,Western Montana,1,230,47.92,-114.27
32008906,Spring Creek,32008906,NORTHWEST,Lower Columbia Basin,1,230,45.86,-120.5
32008920,Wind Ridge,32008920,NORTHWEST,N.KING,1,230,47.02,-120.19
32008950,Rock Creek,32008950,NORTHWEST,Lower Columbia Basin,2,500,45.91,-120.61
52000096,Schnebly,Found Coulee,NORTHWEST,N.KING,1,230,46.94,-119.99
52000097,Poison Spring,Found Road,NORTHWEST,N.KING,1,230,46.95,-120.23
52000098,Linden,No idea,NORTHWEST,Lower Columbia Basin,2,230,45.75,-120.61
52000116,Juniper,No idea,NORTHWEST,Lower Columbia Basin,1,230,45.9,-120.27
52000118,Central Ferry,Found Sub,NORTHWEST,Southeast Washington,2,500,46.6,-117.81
52000119,Phalen Gulcn,Found Sub,NORTHWEST,Southeast Washington,1,230,46.57,-117.83
52000120,Dodge Junction,Found Junction Town,NORTHWEST,Southeast Washington,1,230,46.52,-117.82
52000131,Knight,Found on WECC map,NORTHWEST,Portland Area,3,500,46.1,-120.86
52000171,Norpac,No idea,NORTHWEST,"Cowlitz County, WA",2,230,46.16,-123.01
64000007,Miller,64000007,NORTHWEST,Lower Columbia Basin,1,230,45.89,-120.46
337405809,Aberdeen,3337405809,NORTHWEST,"Seattle Area, Olympic Peninsula",2,230,46.98,-123.85
337405870,Addy,3337405870,NORTHWEST,"Spokane Area, N Idaho, W Montana",2,230,48.33,-117.83
337406029,Albany,3337406029,NORTHWEST,Western Oregon,1,230,44.62,-123.13
337406065,Alcoa,3337406065,NORTHWEST,Portland Area,1,230,45.65,-122.73
337406092,Alfalfa,3337406092,NORTHWEST,Lower Columbia Basin,1,230,46.3,-120.22
337406167,Allston,3337406167,NORTHWEST,Portland Area,3,500,46.11,-123.03
337406231,Alvey,3337406231,NORTHWEST,Western Oregon,3,500,44,-123.01
337406299,Anaconda Mill Creek,3337406299,NORTHWEST,Western Montana,1,230,46.11,-112.88
337406571,Ashe,3337406571,NORTHWEST,Lower Columbia Basin,14,500,46.48,-119.33
337407067,Beacon (Spokane),3337407067,NORTHWEST,AVA: Spokane,2,230,47.68,-117.34
337407116,Beaver,3337407116,NORTHWEST,Portland General - Generation,2,230,46.16,-123.14
337407118,Beaver,3337407118,NORTHWEST,Western Montana,1,500,45.28,-123.82
337407193,Bell,3337407193,NORTHWEST,"Spokane Area, N Idaho, W Montana",8,500,47.75,-117.37
337407237,Bellingham Division,3337407237,NORTHWEST,"Seattle Area, Olympic Peninsula",1,230,48.8,-122.42
337407283,Benewah,3337407283,NORTHWEST,AVA: Palouse,1,230,47.35,-117.03
337407300,Benton,3337407300,NORTHWEST,Lower Columbia Basin,1,230,46.46,-119.27
337407368,Bethel (PGE),3337407368,NORTHWEST,Portland General - BES S/S,1,230,44.97,-122.91
337407430,Big Eddy,3337407430,NORTHWEST,Lower Columbia Basin,10,500,45.61,-121.11
337407440,Big Horn Wind (PPM),3337407440,NORTHWEST,Lower Columbia Basin,1,230,45.83,-120.74
337407727,Boardman (PGE),3337407727,NORTHWEST,Lower Columbia Basin,5,500,45.69,-119.81
337407786,Bonneville,3337407786,NORTHWEST,Portland Area,7,230,45.64,-121.94
337407825,Bothell,3337407825,NORTHWEST,Seattle City Light,3,230,47.86,-122.18
337407839,Boulder Park,3337407839,NORTHWEST,AVA: Spokane,1,230,47.7,-117.15
337407846,Boundary,3337407846,NORTHWEST,Seattle City Light,8,230,48.98,-117.36
337408209,Buckley,3337408209,NORTHWEST,Lower Columbia Basin,2,500,45.23,-120.9
337408315,Burns,3337408315,NORTHWEST,Southern Oregon,2,500,43.68,-118.77
337408422,Cabinet Gorge,3337408422,NORTHWEST,AVA: Coeur D'Alene,1,230,48.09,-116.06
337408462,Calapooya,3337408462,NORTHWEST,PAC:JCTN,1,230,44.38,-123.01
337408606,Canby 2,3337408606,NORTHWEST,Southern Oregon,2,230,41.44,-120.88
337408690,Captain Jack,3337408690,NORTHWEST,Southern Oregon,9,500,42.08,-121.39
337408757,Carlton,3337408757,NORTHWEST,Portland Area,1,230,45.28,-123.15
337408830,Carver,3337408830,NORTHWEST,Portland General - BES S/S,1,230,45.4,-122.53
337408843,Cascade,3337408843,NORTHWEST,N.KING,1,230,37.53,-107.79
337408977,Celilo Dc Converter Station,3337408977,NORTHWEST,Lower Columbia Basin,4,500,45.6,-121.11
337409051,Centralia Switching Station,3337409051,NORTHWEST,"Seattle Area, Olympic Peninsula",6,500,46.73,-122.84
337409201,Chehalis,3337409201,NORTHWEST,Tacoma Power - General,2,230,46.62,-122.92
337409209,Chemawa,3337409209,NORTHWEST,Portland Area,1,230,45.01,-123
337409220,Chenoweth,3337409220,NORTHWEST,Lower Columbia Basin,1,230,45.64,-121.2
337409315,Chief Joseph,3337409315,NORTHWEST,Central Washington,12,500,47.99,-119.65
337409332,Chiloquin,3337409332,NORTHWEST,PAC:KFAL,2,230,42.59,-121.84
337409381,Christopher,3337409381,NORTHWEST,S.KING,1,230,47.29,-122.24
337409539,Clatsop,3337409539,NORTHWEST,Portland Area,1,230,46.14,-123.84
337409756,Cold Springs,3337409756,NORTHWEST,Portland General - Industrial,1,230,45.89,-119.23
337409867,Columbia,3337409867,NORTHWEST,Central Washington,1,230,47.29,-120.08
337409874,Columbia Falls,3337409874,NORTHWEST,Western Montana,2,230,48.36,-114.14
337409954,Con Kelley,3337409954,NORTHWEST,Western Montana,1,230,48.39,-114.13
337410194,Cove,3337410194,NORTHWEST,PAC:C.OR,1,230,42.53,-111.8
337410205,Covington,3337410205,NORTHWEST,"Seattle Area, Olympic Peninsula",6,500,47.35,-122.12
337410218,Cowlitz,3337410218,NORTHWEST,Tacoma Power - General,1,230,46.11,-122.94
337410221,Cowlitz Falls,3337410221,NORTHWEST,"Seattle Area, Olympic Peninsula",1,230,46.46,-122.1
337410234,Coyote Springs,3337410234,NORTHWEST,Portland General - BES S/S,1,500,45.85,-119.67
337410309,Creston,3337410309,NORTHWEST,Seattle City Light,1,230,47.51,-122.27
337410469,Cusick,3337410469,NORTHWEST,"Spokane Area, N Idaho, W Montana",2,230,48.33,-117.37
337410472,Custer,3337410472,NORTHWEST,"Seattle Area, Olympic Peninsula",7,500,48.9,-122.62
337410535,Dalreed,3337410535,NORTHWEST,PAC:DALR,3,230,45.76,-120
337410784,Delridge,3337410784,NORTHWEST,Seattle City Light,1,230,47.55,-122.37
337410875,Detroit,3337410875,NORTHWEST,Western Oregon,1,230,44.72,-122.25
337410919,Diablo,3337410919,EL PASO,ZoneNW,2,345,48.71,-121.13
337411001,Dixonville,3337411001,NORTHWEST,PAC:ROSE,4,500,43.21,-123.24
337411112,Douglas,3337411112,NORTHWEST,Central Washington,1,230,47.53,-120.29
337411162,Driscoll,3337411162,NORTHWEST,Portland Area,2,230,46.15,-123.41
337411184,Dry Gulch,3337411184,NORTHWEST,AVA: Lewiston/Clarkston,1,230,46.4,-117.21
337411301,Duwamish,3337411301,NORTHWEST,Seattle City Light,2,230,47.51,-122.31
337411304,Dworshak,3337411304,NORTHWEST,"Spokane Area, N Idaho, W Montana",2,500,46.51,-116.3
337411468,East Omak,3337411468,NORTHWEST,Central Washington,1,230,48.43,-119.5
337411547,Eastpine,3337411547,NORTHWEST,Seattle City Light,1,230,47.61,-122.3
