Limit Monitor Name,Contingency Name,Violated Device,Limit Monitor Variable,Initial Value,Actual Value,Converted Value,Time of Value,Actual Value Start,Converted Value Start,Time of Value Start,Actual Value Extreme,Converted Value Extreme,Time of Value Extreme,Actual Value No Longer,Converted Value No Longer,Time of No Longer
WECC Category C Voltage Dip Any Bus,quake4,Bus '44894',TSBusVPU,1.046704,0.391969,-62.552055,15.0012,0.391969,-62.552055,15.0012,0.391518,-62.59515,15.122,,,
WECC Category C Voltage Dip Any Bus,quake4,Bus '44900',TSBusVPU,1.05094,0.728947,-30.638565,15.0012,0.728947,-30.638565,15.0012,0.727561,-30.770445,15.1262,0.739595,-29.625404,37.1363
WECC Category C Voltage Dip Any Bus,quake4,Bus '44995',TSBusVPU,1.024394,0.626843,-38.808365,15.0012,0.626843,-38.808365,15.0012,0.625741,-38.915951,15.1262,,,
WECC Category C Voltage Dip Any Bus,quake4,Bus '44996',TSBusVPU,1.027578,0.627613,-38.923046,15.0012,0.627613,-38.923046,15.0012,0.626512,-39.030235,15.1262,,,
WECC Category C Voltage Dip Any Bus,quake4,Bus '45025',TSBusVPU,1.05182,0.624233,-40.652145,15.0012,0.624233,-40.652145,15.0012,0.623794,-40.693893,15.1137,,,
WECC Category C Voltage Dip Any Bus,quake4,Bus '45063',TSBusVPU,1.059419,0.54532,-48.526497,15.0012,0.54532,-48.526497,15.0012,0.544919,-48.564419,15.1137,,,
WECC Category C Voltage Dip Any Bus,quake4,Bus '45113',TSBusVPU,1.030519,0.560857,-45.57534,15.0012,0.560857,-45.57534,15.0012,0.559941,-45.664181,15.1262,,,
WECC Category C Voltage Dip Any Bus,quake4,Bus '45123',TSBusVPU,1.035949,0.457142,-55.872116,15.0012,0.457142,-55.872116,15.0012,0.456508,-55.933334,15.122,,,
WECC Category C Voltage Dip Any Bus,quake4,Bus '45161',TSBusVPU,1.048197,0.695964,-33.603642,15.0012,0.695964,-33.603642,15.0012,0.695491,-33.648838,15.1137,,,
WECC Category C Voltage Dip Any Bus,quake4,Bus '45183',TSBusVPU,1.06854,0.366082,-65.73999,15.0012,0.366082,-65.73999,15.0012,0.365751,-65.77092,15.1137,,,
WECC Category C Voltage Dip Any Bus,quake4,Bus '45195',TSBusVPU,1.065885,0.350491,-67.11734,15.0012,0.350491,-67.11734,15.0012,0.350176,-67.14695,15.1137,,,
WECC Category C Voltage Dip Any Bus,quake4,Bus '45197',TSBusVPU,1.108925,0.298658,-73.06781,15.0012,0.298658,-73.06781,15.0012,0.29844,-73.087418,15.1137,,,
WECC Category C Voltage Dip Any Bus,quake4,Bus '45199',TSBusVPU,1.098834,0.587751,-46.511414,15.0012,0.587751,-46.511414,15.0012,0.587323,-46.550354,15.1137,,,
WECC Category C Voltage Dip Any Bus,quake4,Bus '45262',TSBusVPU,1.100059,0.6594,-40.057747,15.0012,0.6594,-40.057747,15.0012,0.659005,-40.093674,15.1137,,,
WECC Category C Voltage Dip Any Bus Duration,quake4,Bus '45113',TSBusVPU,1.030519,0.56425,-45.246086,15.6679,0.560857,-45.57534,15.0012,0.559941,-45.664181,15.1262,,,
