Sub Name,Sub ID,Area Name,Latitude,Longitude
Andrew York,Sub2000002,NORTHWEST,,
Lion Mountain,3477941,NORTHWEST,48.1,-114.25
Greenbry,25000019,NORTHWEST,44.38,-123.11
Springville,25000149,NORTHWEST,45.81,-122.72
Silicon,25000910,NORTHWEST,47.21,-119.23
Parish Gap,25000918,NORTHWEST,44.73,-122.83
Linneman,30004005,NORTHWEST,45.5,-122.42
Blue Lake,30004006,NORTHWEST,45.59,-122.49
Monitor,30004008,NORTHWEST,45.18,-122.67
Mattawa,30004092,NORTHWEST,46.79,-119.96
Hew,30004101,NORTHWEST,46.52,-119.54
Marcola,30004107,NORTHWEST,44.19,-122.84
Baldi,30004129,NORTHWEST,47.21,-121.69
Klahanie,30004132,NORTHWEST,47.57,-122.12
Horseranch,30004298,NORTHWEST,48,-122.11
Novelty,30004496,NORTHWEST,47.69,-121.85
Sulphur,32000255,NORTHWEST,46.33,-119.94
Jones Canyon,32008816,NORTHWEST,45.65,-120.14
Lakeside,32008880,NORTHWEST,47.92,-114.27
Spring Creek,32008906,NORTHWEST,45.86,-120.5
Wind Ridge,32008920,NORTHWEST,47.02,-120.19
Rock Creek,32008950,NORTHWEST,45.91,-120.61
Schnebly,Found Coulee,NORTHWEST,46.94,-119.99
Poison Spring,Found Road,NORTHWEST,46.95,-120.23
Linden,No idea,NORTHWEST,45.75,-120.61
Juniper,No idea,NORTHWEST,45.9,-120.27
Central Ferry,Found Sub,NORTHWEST,46.6,-117.81
Phalen Gulcn,Found Sub,NORTHWEST,46.57,-117.83
Dodge Junction,Found Junction Town,NORTHWEST,46.52,-117.82
Knight,Found on WECC map,NORTHWEST,46.1,-120.86
Norpac,No idea,NORTHWEST,46.16,-123.01
Miller,64000007,NORTHWEST,45.89,-120.46
Aberdeen,3337405809,NORTHWEST,46.98,-123.85
Addy,3337405870,NORTHWEST,48.33,-117.83
Albany,3337406029,NORTHWEST,44.62,-123.13
Alcoa,3337406065,NORTHWEST,45.65,-122.73
Alfalfa,3337406092,NORTHWEST,46.3,-120.22
Allston,3337406167,NORTHWEST,46.11,-123.03
Alvey,3337406231,NORTHWEST,44,-123.01
Anaconda Mill Creek,3337406299,NORTHWEST,46.11,-112.88
Ashe,3337406571,NORTHWEST,46.48,-119.33
Beacon (Spokane),3337407067,NORTHWEST,47.68,-117.34
Beaver,3337407116,NORTHWEST,46.16,-123.14
Beaver,3337407118,NORTHWEST,45.28,-123.82
Bell,3337407193,NORTHWEST,47.75,-117.37
Bellingham Division,3337407237,NORTHWEST,48.8,-122.42
Benewah,3337407283,NORTHWEST,47.35,-117.03
Benton,3337407300,NORTHWEST,46.46,-119.27
Bethel (PGE),3337407368,NORTHWEST,44.97,-122.91
Big Eddy,3337407430,NORTHWEST,45.61,-121.11
Big Horn Wind (PPM),3337407440,NORTHWEST,45.83,-120.74
Boardman (PGE),3337407727,NORTHWEST,45.69,-119.81
Bonneville,3337407786,NORTHWEST,45.64,-121.94
Bothell,3337407825,NORTHWEST,47.86,-122.18
Boulder Park,3337407839,NORTHWEST,47.7,-117.15
Boundary,3337407846,NORTHWEST,48.98,-117.36
Buckley,3337408209,NORTHWEST,45.23,-120.9
Burns,3337408315,NORTHWEST,43.68,-118.77
Cabinet Gorge,3337408422,NORTHWEST,48.09,-116.06
Calapooya,3337408462,NORTHWEST,44.38,-123.01
Canby 2,3337408606,NORTHWEST,41.44,-120.88
Captain Jack,3337408690,NORTHWEST,42.08,-121.39
Carlton,3337408757,NORTHWEST,45.28,-123.15
Carver,3337408830,NORTHWEST,45.4,-122.53
Cascade,3337408843,NORTHWEST,37.53,-107.79
Celilo Dc Converter Station,3337408977,NORTHWEST,45.6,-121.11
Centralia Switching Station,3337409051,NORTHWEST,46.73,-122.84
Chehalis,3337409201,NORTHWEST,46.62,-122.92
Chemawa,3337409209,NORTHWEST,45.01,-123
Chenoweth,3337409220,NORTHWEST,45.64,-121.2
Chief Joseph,3337409315,NORTHWEST,47.99,-119.65
Chiloquin,3337409332,NORTHWEST,42.59,-121.84
Christopher,3337409381,NORTHWEST,47.29,-122.24
Clatsop,3337409539,NORTHWEST,46.14,-123.84
Cold Springs,3337409756,NORTHWEST,45.89,-119.23
Columbia,3337409867,NORTHWEST,47.29,-120.08
Columbia Falls,3337409874,NORTHWEST,48.36,-114.14
Con Kelley,3337409954,NORTHWEST,48.39,-114.13
Cove,3337410194,NORTHWEST,42.53,-111.8
Covington,3337410205,NORTHWEST,47.35,-122.12
Cowlitz,3337410218,NORTHWEST,46.11,-122.94
Cowlitz Falls,3337410221,NORTHWEST,46.46,-122.1
Coyote Springs,3337410234,NORTHWEST,45.85,-119.67
Creston,3337410309,NORTHWEST,47.51,-122.27
Cusick,3337410469,NORTHWEST,48.33,-117.37
